flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,5.5856029988739225e-15
nue,0.5,0.75,2.425,4.85,7.944030077099186e-15
nue,0.5,0.75,4.85,7.2749999999999995,6.29037884554607e-15
nue,0.5,0.75,7.2749999999999995,9.7,4.687577806612224e-15
nue,0.5,0.75,9.7,12.125,5.503517466450241e-15
nue,0.5,0.75,12.125,14.549999999999999,6.2909807806886805e-15
nue,0.5,0.75,14.549999999999999,16.974999999999998,5.886089889447835e-15
nue,0.5,0.75,16.974999999999998,19.4,9.578052601479855e-15
nue,0.5,0.75,19.4,21.825,5.497792351748945e-15
nue,0.5,0.75,21.825,24.25,5.573847312767882e-15
nue,0.5,0.75,24.25,26.674999999999997,6.479483030192872e-15
nue,0.5,0.75,26.674999999999997,29.099999999999998,2.819146953146052e-15
nue,0.5,0.75,29.099999999999998,31.525,5.55055657255052e-15
nue,0.5,0.75,31.525,33.949999999999996,7.389394052179112e-15
nue,0.5,0.75,33.949999999999996,36.375,5.9565596596146824e-15
nue,0.5,0.75,36.375,38.8,1.0362535529596716e-15
nue,0.5,0.75,38.8,41.224999999999994,9.529298320557747e-15
nue,0.5,0.75,41.224999999999994,43.65,3.323529104669023e-15
nue,0.5,0.75,43.65,46.074999999999996,4.1739549615002034e-15
nue,0.5,0.75,46.074999999999996,48.5,1.7108069539967068e-15
nue,0.5,0.75,48.5,50.925,5.111606594845107e-15
nue,0.5,0.75,50.925,53.349999999999994,2.050199166026965e-15
nue,0.5,0.75,53.349999999999994,55.775,1.2040161639920236e-15
nue,0.5,0.75,55.775,58.199999999999996,6.463508876194811e-15
nue,0.5,0.75,58.199999999999996,60.62499999999999,7.246634707259957e-15
nue,0.5,0.75,60.62499999999999,63.05,3.2005353143243542e-15
nue,0.5,0.75,63.05,65.475,2.5042794723561246e-15
nue,0.5,0.75,65.475,67.89999999999999,2.058489768750471e-15
nue,0.5,0.75,67.89999999999999,70.32499999999999,1.9696435181832346e-14
nue,0.5,0.75,70.32499999999999,72.75,1.5918774038734209e-15
nue,0.5,0.75,72.75,75.175,2.7507078079335004e-15
nue,0.5,0.75,75.175,77.6,3.4651262927151735e-15
nue,0.5,0.75,77.6,80.02499999999999,5.0407094509041095e-15
nue,0.5,0.75,80.02499999999999,82.44999999999999,5.305680236420371e-15
nue,0.5,0.75,82.44999999999999,84.875,4.992212280407007e-15
nue,0.5,0.75,84.875,87.3,3.2741821675903556e-15
nue,0.5,0.75,87.3,89.725,4.003619549861394e-15
nue,0.5,0.75,89.725,92.14999999999999,2.3652347690350175e-15
nue,0.5,0.75,92.14999999999999,94.57499999999999,5.550428746723521e-15
nue,0.5,0.75,94.57499999999999,97.0,4.0417034134173916e-15
nue,0.5,0.75,97.0,99.425,8.237114669697892e-16
nue,0.5,0.75,99.425,101.85,1.8967342831041416e-15
nue,0.5,0.75,101.85,104.27499999999999,3.0376502676568113e-15
nue,0.5,0.75,104.27499999999999,106.69999999999999,5.753895503631986e-15
nue,0.5,0.75,106.69999999999999,109.12499999999999,2.032516678650792e-15
nue,0.5,0.75,109.12499999999999,111.55,5.9302490417589806e-15
nue,0.5,0.75,111.55,113.975,1.5916539909566556e-15
nue,0.5,0.75,113.975,116.39999999999999,1.0916104373956106e-15
nue,0.5,0.75,116.39999999999999,118.82499999999999,2.6016457983828584e-15
nue,0.5,0.75,118.82499999999999,121.24999999999999,1.1872513990297419e-14
nue,0.5,0.75,121.24999999999999,123.675,1.4370304887093215e-15
nue,0.5,0.75,123.675,126.1,2.708627127942184e-15
nue,0.5,0.75,126.1,128.52499999999998,2.1174076207713437e-15
nue,0.5,0.75,128.52499999999998,130.95,7.0332470831553515e-15
nue,0.5,0.75,130.95,133.375,1.1683330821626052e-15
nue,0.5,0.75,133.375,135.79999999999998,4.36237422467913e-15
nue,0.5,0.75,135.79999999999998,138.225,2.394851579086206e-15
nue,0.5,0.75,138.225,140.64999999999998,4.39868896636987e-15
nue,0.5,0.75,140.64999999999998,143.075,2.502229084575118e-15
nue,0.5,0.75,143.075,145.5,2.8267865232462874e-15
nue,0.5,0.75,145.5,147.92499999999998,3.4738619735217556e-16
nue,0.5,0.75,147.92499999999998,150.35,2.8384661101288704e-15
nue,0.5,0.75,150.35,152.77499999999998,1.2153475624165403e-15
nue,0.5,0.75,152.77499999999998,155.2,9.069182586838092e-15
nue,0.5,0.75,155.2,157.625,7.608425523001314e-15
nue,0.5,0.75,157.625,160.04999999999998,3.583569501598103e-15
nue,0.5,0.75,160.04999999999998,162.475,9.71011836380804e-16
nue,0.5,0.75,162.475,164.89999999999998,5.806963323069461e-16
nue,0.5,0.75,164.89999999999998,167.325,7.943343568865254e-16
nue,0.5,0.75,167.325,169.75,3.0418210507637637e-15
nue,0.5,0.75,169.75,172.17499999999998,2.3881458869579696e-15
nue,0.5,0.75,172.17499999999998,174.6,1.9987162075514217e-15
nue,0.5,0.75,174.6,177.02499999999998,2.7359959283436365e-16
nue,0.5,0.75,177.02499999999998,179.45,5.578559285293741e-15
nue,0.5,0.75,179.45,181.875,1.2459086563514436e-15
nue,0.5,0.75,181.875,184.29999999999998,7.494787175125392e-16
