flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.5,5.196538506392817e-15
nue,0.5,0.75,2.5,5.0,7.42575014342581e-15
nue,0.5,0.75,5.0,7.5,5.7499620074468246e-15
nue,0.5,0.75,7.5,10.0,4.407788037076235e-15
nue,0.5,0.75,10.0,12.5,6.059177241145676e-15
nue,0.5,0.75,12.5,15.0,5.845205102828347e-15
nue,0.5,0.75,15.0,17.5,4.290275816267245e-15
nue,0.5,0.75,17.5,20.0,1.0601223342184532e-14
nue,0.5,0.75,20.0,22.5,5.060692944839165e-15
nue,0.5,0.75,22.5,25.0,5.017929968801906e-15
nue,0.5,0.75,25.0,27.5,4.727402984555567e-15
nue,0.5,0.75,27.5,30.0,2.8938454745378402e-15
nue,0.5,0.75,30.0,32.5,5.049196930631094e-15
nue,0.5,0.75,32.5,35.0,6.876792171255997e-15
nue,0.5,0.75,35.0,37.5,4.297180904601357e-15
nue,0.5,0.75,37.5,40.0,7.885244255417827e-15
nue,0.5,0.75,40.0,42.5,2.316721951773893e-15
nue,0.5,0.75,42.5,45.0,2.123747998797045e-15
nue,0.5,0.75,45.0,47.5,5.166493464886737e-15
nue,0.5,0.75,47.5,50.0,3.638590804409996e-15
nue,0.5,0.75,50.0,52.5,2.3963679650911307e-15
nue,0.5,0.75,52.5,55.0,1.4760229961011644e-15
nue,0.5,0.75,55.0,57.5,4.617321009270357e-15
nue,0.5,0.75,57.5,60.0,5.599383288182107e-15
nue,0.5,0.75,60.0,62.5,6.033338554908468e-15
nue,0.5,0.75,62.5,65.0,2.488219366321169e-15
nue,0.5,0.75,65.0,67.5,1.862567295490104e-15
nue,0.5,0.75,67.5,70.0,1.502419364129183e-14
nue,0.5,0.75,70.0,72.5,4.2126961386158196e-15
nue,0.5,0.75,72.5,75.0,2.485639136728875e-15
nue,0.5,0.75,75.0,77.5,3.1312135378536345e-15
nue,0.5,0.75,77.5,80.0,4.554967507602784e-15
nue,0.5,0.75,80.0,82.5,5.037504421687629e-15
nue,0.5,0.75,82.5,85.0,4.268043987281136e-15
nue,0.5,0.75,85.0,87.5,2.9586695151952392e-15
nue,0.5,0.75,87.5,90.0,3.8365409463875516e-15
nue,0.5,0.75,90.0,92.5,1.9593453855918613e-15
nue,0.5,0.75,92.5,95.0,5.0617865383634264e-15
nue,0.5,0.75,95.0,97.5,3.685717242148248e-15
nue,0.5,0.75,97.5,100.0,2.058004133339766e-15
nue,0.5,0.75,100.0,102.5,6.713023478584082e-16
nue,0.5,0.75,102.5,105.0,6.8624984620466815e-15
nue,0.5,0.75,105.0,107.5,1.2007914183771509e-15
nue,0.5,0.75,107.5,110.0,6.244898018028231e-15
nue,0.5,0.75,110.0,112.5,1.2045634526426873e-15
nue,0.5,0.75,112.5,115.0,8.529570485179718e-16
nue,0.5,0.75,115.0,117.5,2.1300418863224167e-15
nue,0.5,0.75,117.5,120.0,1.6942659959235015e-15
nue,0.5,0.75,120.0,122.5,1.1274122911848533e-14
nue,0.5,0.75,122.5,125.0,4.823794561003488e-16
nue,0.5,0.75,125.0,127.5,4.4594794614428184e-15
nue,0.5,0.75,127.5,130.0,5.1649562933460136e-15
nue,0.5,0.75,130.0,132.5,2.1379667201086523e-15
nue,0.5,0.75,132.5,135.0,4.224722863460159e-15
nue,0.5,0.75,135.0,137.5,2.7854718297896644e-15
nue,0.5,0.75,137.5,140.0,4.561230149330709e-15
nue,0.5,0.75,140.0,142.5,2.234221774466327e-15
nue,0.5,0.75,142.5,145.0,1.1889726619935692e-15
nue,0.5,0.75,145.0,147.5,1.8894671099992853e-15
nue,0.5,0.75,147.5,150.0,2.482072482812252e-15
nue,0.5,0.75,150.0,152.5,1.1732516979422971e-15
nue,0.5,0.75,152.5,155.0,8.20309022421843e-15
nue,0.5,0.75,155.0,157.5,6.361229134136491e-15
nue,0.5,0.75,157.5,160.0,3.966489804536504e-15
nue,0.5,0.75,160.0,162.5,8.774414409898134e-16
nue,0.5,0.75,162.5,165.0,5.247382240941951e-16
nue,0.5,0.75,165.0,167.5,7.177892757023948e-16
nue,0.5,0.75,167.5,170.0,2.7486995997529626e-15
nue,0.5,0.75,170.0,172.5,2.1580150620579216e-15
nue,0.5,0.75,172.5,175.0,2.0444131205517134e-15
nue,0.5,0.75,175.0,177.5,8.933682825976581e-18
nue,0.5,0.75,177.5,180.0,5.454551070398344e-15
nue,0.5,0.75,180.0,182.5,1.361663782321608e-15
nue,0.5,0.75,182.5,185.0,1.8199101043957858e-16
nue,0.5,0.75,185.0,187.5,3.6461821082754554e-15
nue,0.5,0.75,187.5,190.0,1.7358699606239672e-15
nue,0.5,0.75,190.0,192.5,2.8738188757864636e-15
nue,0.5,0.75,192.5,195.0,6.731398052407064e-16
nue,0.5,0.75,195.0,197.5,1.1914359906863015e-15
nue,0.5,0.75,197.5,200.0,6.062341027993174e-15
nue,0.5,0.75,200.0,202.5,2.7995527992733953e-16
nue,0.5,0.75,202.5,205.0,8.822393637647436e-16
nue,0.5,0.75,205.0,207.5,6.901992420291697e-16
nue,0.5,0.75,207.5,210.0,9.141999073743468e-15
nue,0.5,0.75,210.0,212.5,2.0431948955800327e-15
nue,0.5,0.75,212.5,215.0,3.34547426602954e-15
nue,0.5,0.75,215.0,217.5,4.433236954093612e-15
nue,0.5,0.75,217.5,220.0,3.729941441171547e-16
nue,0.5,0.75,220.0,222.5,5.551225823038358e-16
nue,0.5,0.75,222.5,225.0,2.9154657576231984e-15
nue,0.5,0.75,225.0,227.5,5.334005641975103e-16
nue,0.5,0.75,227.5,230.0,6.746839337783206e-16
nue,0.5,0.75,230.0,232.5,2.9827769008979136e-16
nue,0.5,0.75,232.5,235.0,1.5235331731081705e-16
nue,0.5,0.75,245.0,247.5,3.6868606899488333e-16
nue,0.5,0.75,270.0,272.5,2.2634879103513646e-17
nue,0.5,0.75,277.5,280.0,2.232807223031502e-17
nue,0.5,0.75,280.0,282.5,3.2353351561227683e-17
nue,0.5,0.75,282.5,285.0,1.829662335353125e-17
nue,0.5,0.75,287.5,290.0,1.3035390183039075e-17
nue,0.5,0.75,295.0,297.5,2.5253634665137115e-17
nue,0.5,0.75,325.0,327.5,3.9892116899258355e-17
nue,0.5,0.75,345.0,347.5,2.8017742953607284e-16
nue,0.5,0.75,357.5,360.0,9.316016332047965e-17
nue,0.5,0.75,360.0,362.5,7.181014242829486e-17
nue,0.5,0.75,375.0,377.5,1.6789592658662405e-17
nue,0.5,0.75,377.5,380.0,1.4825573664949015e-16
nue,0.75,1.0,0.0,2.5,4.648238594501381e-15
nue,0.75,1.0,2.5,5.0,6.522382113354548e-15
nue,0.75,1.0,5.0,7.5,4.337147413796284e-15
nue,0.75,1.0,7.5,10.0,5.1211729118124125e-15
nue,0.75,1.0,10.0,12.5,5.245539711040244e-15
nue,0.75,1.0,12.5,15.0,4.074459824589353e-15
nue,0.75,1.0,15.0,17.5,5.733435783095205e-15
nue,0.75,1.0,17.5,20.0,3.7792181710430455e-15
nue,0.75,1.0,20.0,22.5,7.53201107480299e-15
nue,0.75,1.0,22.5,25.0,2.8094946405800358e-15
nue,0.75,1.0,25.0,27.5,1.4353301758394042e-15
nue,0.75,1.0,27.5,30.0,5.5068710671427246e-15
nue,0.75,1.0,30.0,32.5,7.248815379482958e-15
nue,0.75,1.0,32.5,35.0,2.959199242597387e-15
nue,0.75,1.0,35.0,37.5,1.5479973874844427e-15
nue,0.75,1.0,37.5,40.0,9.041860206919542e-15
nue,0.75,1.0,40.0,42.5,1.8570538281714245e-15
nue,0.75,1.0,42.5,45.0,2.329003399535827e-15
nue,0.75,1.0,45.0,47.5,2.9822395013612124e-15
nue,0.75,1.0,47.5,50.0,1.3633129437267954e-15
