flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,3.094496620065418e-08
nue,0.5,0.75,2.425,4.85,4.4247537173962933e-08
nue,0.5,0.75,4.85,7.2749999999999995,3.5490324533917656e-08
nue,0.5,0.75,7.2749999999999995,9.7,2.6873758568256612e-08
nue,0.5,0.75,9.7,12.125,3.183002713009473e-08
nue,0.5,0.75,12.125,14.549999999999999,3.7331852669595406e-08
nue,0.5,0.75,14.549999999999999,16.974999999999998,3.3506828556440787e-08
nue,0.5,0.75,16.974999999999998,19.4,5.6834257208567686e-08
nue,0.5,0.75,19.4,21.825,3.3231990944822636e-08
nue,0.5,0.75,21.825,24.25,3.3302215206880043e-08
nue,0.5,0.75,24.25,26.674999999999997,3.85795686856557e-08
nue,0.5,0.75,26.674999999999997,29.099999999999998,1.6818795667244646e-08
nue,0.5,0.75,29.099999999999998,31.525,3.3778289665416016e-08
nue,0.5,0.75,31.525,33.949999999999996,4.523813065610326e-08
nue,0.5,0.75,33.949999999999996,36.375,3.635080659728123e-08
nue,0.5,0.75,36.375,38.8,6.43735257669585e-09
nue,0.5,0.75,38.8,41.224999999999994,5.871079168881082e-08
nue,0.5,0.75,41.224999999999994,43.65,2.142222506436549e-08
nue,0.5,0.75,43.65,46.074999999999996,2.5715400692869044e-08
nue,0.5,0.75,46.074999999999996,48.5,1.1816641437091623e-08
nue,0.5,0.75,48.5,50.925,3.334616217204648e-08
nue,0.5,0.75,50.925,53.349999999999994,1.3499912624489938e-08
nue,0.5,0.75,53.349999999999994,55.775,8.020092284807158e-09
nue,0.5,0.75,55.775,58.199999999999996,4.29651833292383e-08
nue,0.5,0.75,58.199999999999996,60.62499999999999,7.145741972903405e-08
nue,0.5,0.75,60.62499999999999,63.05,2.190563657649229e-08
nue,0.5,0.75,63.05,65.475,1.7165702975172737e-08
nue,0.5,0.75,65.475,67.89999999999999,2.338189197246033e-08
nue,0.5,0.75,67.89999999999999,70.32499999999999,1.3188164564725843e-07
nue,0.5,0.75,70.32499999999999,72.75,1.1057222565713045e-08
nue,0.5,0.75,72.75,75.175,2.008767161915563e-08
nue,0.5,0.75,75.175,77.6,2.4754620976007518e-08
nue,0.5,0.75,77.6,80.02499999999999,3.894189272356215e-08
nue,0.5,0.75,80.02499999999999,82.44999999999999,3.744997841532234e-08
nue,0.5,0.75,82.44999999999999,84.875,3.422208296921087e-08
nue,0.5,0.75,84.875,87.3,2.1917074505559543e-08
nue,0.5,0.75,87.3,89.725,3.002821253727393e-08
nue,0.5,0.75,89.725,92.14999999999999,1.8607563099300495e-08
nue,0.5,0.75,92.14999999999999,94.57499999999999,3.8534558428227114e-08
nue,0.5,0.75,94.57499999999999,97.0,3.357938019007249e-08
nue,0.5,0.75,97.0,99.425,6.185872608966558e-09
nue,0.5,0.75,99.425,101.85,1.4914627381802697e-08
nue,0.5,0.75,101.85,104.27499999999999,2.4028942538179967e-08
nue,0.5,0.75,104.27499999999999,106.69999999999999,4.3106083455751244e-08
nue,0.5,0.75,106.69999999999999,109.12499999999999,1.6476990178690795e-08
nue,0.5,0.75,109.12499999999999,111.55,4.965281404636285e-08
nue,0.5,0.75,111.55,113.975,1.2558508384412179e-08
nue,0.5,0.75,113.975,116.39999999999999,8.959996619068772e-09
nue,0.5,0.75,116.39999999999999,118.82499999999999,2.115110183083306e-08
nue,0.5,0.75,118.82499999999999,121.24999999999999,7.621753211609118e-08
nue,0.5,0.75,121.24999999999999,123.675,1.337809440531789e-08
nue,0.5,0.75,123.675,126.1,2.4805456617612812e-08
nue,0.5,0.75,126.1,128.52499999999998,1.9638874638849352e-08
nue,0.5,0.75,128.52499999999998,130.95,5.820152351743787e-08
nue,0.5,0.75,130.95,133.375,9.864133623517255e-09
nue,0.5,0.75,133.375,135.79999999999998,4.0910654372845e-08
nue,0.5,0.75,135.79999999999998,138.225,2.2922873612822857e-08
nue,0.5,0.75,138.225,140.64999999999998,4.3835913458552944e-08
nue,0.5,0.75,140.64999999999998,143.075,2.8736336342340477e-08
nue,0.5,0.75,143.075,145.5,2.7006913992258655e-08
nue,0.5,0.75,145.5,147.92499999999998,3.3164002065756126e-09
nue,0.5,0.75,147.92499999999998,150.35,3.993259514375735e-08
nue,0.5,0.75,150.35,152.77499999999998,2.3680780669816127e-08
nue,0.5,0.75,152.77499999999998,155.2,9.611326436311777e-08
nue,0.5,0.75,155.2,157.625,8.282676712708122e-08
nue,0.5,0.75,157.625,160.04999999999998,3.682275857522964e-08
nue,0.5,0.75,160.04999999999998,162.475,1.046883245292366e-08
nue,0.5,0.75,162.475,164.89999999999998,6.1384656643745954e-09
nue,0.5,0.75,164.89999999999998,167.325,8.883535466053195e-09
nue,0.5,0.75,167.325,169.75,3.4184808708510995e-08
nue,0.5,0.75,169.75,172.17499999999998,2.562025506930549e-08
nue,0.5,0.75,172.17499999999998,174.6,2.156003783928567e-08
nue,0.5,0.75,174.6,177.02499999999998,3.1084291289173528e-09
nue,0.5,0.75,177.02499999999998,179.45,7.330184116613169e-08
nue,0.5,0.75,179.45,181.875,1.334292117017079e-08
nue,0.5,0.75,181.875,184.29999999999998,9.284346827757457e-09
nue,0.5,0.75,184.29999999999998,186.725,4.031827546799268e-08
nue,0.5,0.75,186.725,189.14999999999998,2.8184691816985702e-08
nue,0.5,0.75,189.14999999999998,191.575,4.486091969598036e-08
nue,0.5,0.75,191.575,194.0,1.6489055433186973e-08
nue,0.75,1.0,0.0,2.425,2.96954294061047e-08
nue,0.75,1.0,2.425,4.85,4.334999863299914e-08
nue,0.75,1.0,4.85,7.2749999999999995,2.6686901908515384e-08
nue,0.75,1.0,7.2749999999999995,9.7,3.798501390201815e-08
nue,0.75,1.0,9.7,12.125,3.376899744927538e-08
nue,0.75,1.0,12.125,14.549999999999999,2.1988891682118432e-08
nue,0.75,1.0,14.549999999999999,16.974999999999998,4.2320986108820686e-08
nue,0.75,1.0,16.974999999999998,19.4,2.2681740523542165e-08
nue,0.75,1.0,19.4,21.825,5.818130210448649e-08
nue,0.75,1.0,21.825,24.25,1.4153536360890097e-08
nue,0.75,1.0,24.25,26.674999999999997,1.8320845902332677e-08
nue,0.75,1.0,26.674999999999997,29.099999999999998,1.0807312646002302e-08
nue,0.75,1.0,29.099999999999998,31.525,5.04716724724071e-08
nue,0.75,1.0,31.525,33.949999999999996,5.957704979380761e-08
nue,0.75,1.0,33.949999999999996,36.375,1.2188930683968084e-08
nue,0.75,1.0,36.375,38.8,9.599563995190742e-09
nue,0.75,1.0,38.8,41.224999999999994,7.794599897011202e-08
nue,0.75,1.0,41.224999999999994,43.65,9.250071113380971e-09
nue,0.75,1.0,43.65,46.074999999999996,9.443022282185396e-09
nue,0.75,1.0,46.074999999999996,48.5,2.8656883401461842e-08
nue,0.75,1.0,48.5,50.925,6.698543813762155e-08
nue,0.75,1.0,50.925,53.349999999999994,1.9406501955531577e-08
nue,0.75,1.0,53.349999999999994,55.775,1.1598439890817966e-08
nue,0.75,1.0,55.775,58.199999999999996,4.973681024276327e-08
nue,0.75,1.0,58.199999999999996,60.62499999999999,3.653124889070746e-08
nue,0.75,1.0,60.62499999999999,63.05,1.8631606771937816e-08
nue,0.75,1.0,63.05,65.475,4.1571188352745107e-08
nue,0.75,1.0,65.475,67.89999999999999,3.893506153743108e-08
nue,0.75,1.0,67.89999999999999,70.32499999999999,3.664690523229358e-08
nue,0.75,1.0,70.32499999999999,72.75,4.3040639657331755e-08
nue,0.75,1.0,72.75,75.175,2.661946259196778e-08
nue,0.75,1.0,75.175,77.6,1.0588867303887094e-08
nue,0.75,1.0,77.6,80.02499999999999,1.9221599167591202e-08
nue,0.75,1.0,80.02499999999999,82.44999999999999,1.2766190610803448e-08
nue,0.75,1.0,82.44999999999999,84.875,1.0672420216654796e-08
nue,0.75,1.0,84.875,87.3,5.346041162477273e-08
nue,0.75,1.0,87.3,89.725,8.212939437178712e-08
nue,0.75,1.0,89.725,92.14999999999999,4.084198529659591e-08
nue,0.75,1.0,92.14999999999999,94.57499999999999,3.22751391126893e-08
nue,0.75,1.0,94.57499999999999,97.0,1.2567179178238084e-08
nue,0.75,1.0,97.0,99.425,2.5515521603577313e-08
nue,0.75,1.0,99.425,101.85,3.522755548686882e-08
nue,0.75,1.0,101.85,104.27499999999999,2.960343422874931e-08
nue,0.75,1.0,104.27499999999999,106.69999999999999,1.8090700397895193e-08
nue,0.75,1.0,106.69999999999999,109.12499999999999,1.0825783633402787e-07
