flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.0,0.25,0.0,2.425,1.865917719659294e-08
nue,0.0,0.25,2.425,4.85,2.8656125550255723e-08
nue,0.0,0.25,4.85,7.2749999999999995,2.7512579799122617e-08
nue,0.0,0.25,7.2749999999999995,9.7,2.6527911604856397e-08
nue,0.0,0.25,9.7,12.125,3.1598863625792914e-08
nue,0.0,0.25,12.125,14.549999999999999,3.004356385381237e-08
nue,0.0,0.25,14.549999999999999,16.974999999999998,3.404713056682906e-08
nue,0.0,0.25,16.974999999999998,19.4,3.50408968449224e-08
nue,0.0,0.25,19.4,21.825,4.368093247164633e-08
nue,0.0,0.25,21.825,24.25,2.923948958271019e-08
nue,0.0,0.25,24.25,26.674999999999997,1.6315178893777487e-08
nue,0.0,0.25,26.674999999999997,29.099999999999998,9.32904870773754e-09
nue,0.0,0.25,29.099999999999998,31.525,1.6874337530148744e-08
nue,0.0,0.25,31.525,33.949999999999996,1.8929148980447063e-08
nue,0.0,0.25,33.949999999999996,36.375,1.0584663160251654e-08
nue,0.0,0.25,36.375,38.8,9.884165687959758e-09
nue,0.0,0.25,38.8,41.224999999999994,7.956975215854505e-09
nue,0.0,0.25,41.224999999999994,43.65,7.08798560735233e-09
nue,0.0,0.25,43.65,46.074999999999996,1.0207212904960921e-08
nue,0.0,0.25,46.074999999999996,48.5,1.1274095918518688e-08
nue,0.0,0.25,48.5,50.925,9.858563302920296e-09
nue,0.0,0.25,50.925,53.349999999999994,6.3951819754708974e-09
nue,0.0,0.25,53.349999999999994,55.775,1.2305525270023236e-08
nue,0.0,0.25,55.775,58.199999999999996,2.666200125081574e-09
nue,0.0,0.25,58.199999999999996,60.62499999999999,2.291104701176749e-09
nue,0.0,0.25,60.62499999999999,63.05,7.3613018143752575e-09
nue,0.0,0.25,63.05,65.475,4.873589452922861e-09
nue,0.0,0.25,65.475,67.89999999999999,3.2579519235528604e-09
nue,0.0,0.25,67.89999999999999,70.32499999999999,4.433601620034898e-09
nue,0.0,0.25,70.32499999999999,72.75,3.4129134694164343e-09
nue,0.0,0.25,72.75,75.175,6.129877568154683e-09
nue,0.0,0.25,75.175,77.6,6.508855336475756e-09
nue,0.0,0.25,77.6,80.02499999999999,7.53873752242039e-09
nue,0.0,0.25,80.02499999999999,82.44999999999999,2.002155321500226e-09
nue,0.0,0.25,82.44999999999999,84.875,4.327435899824224e-09
nue,0.0,0.25,84.875,87.3,6.251937895013093e-09
nue,0.0,0.25,87.3,89.725,9.295638517982546e-09
nue,0.0,0.25,89.725,92.14999999999999,3.0916893796130344e-09
nue,0.0,0.25,92.14999999999999,94.57499999999999,6.351991455447584e-09
nue,0.0,0.25,94.57499999999999,97.0,1.9011500857296043e-08
nue,0.0,0.25,97.0,99.425,7.052271073639991e-09
nue,0.0,0.25,99.425,101.85,5.603802340607264e-09
nue,0.0,0.25,101.85,104.27499999999999,1.5986591346646328e-09
