flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.5,2.6638558008291135e-08
nue,0.5,0.75,2.5,5.0,3.814181381046003e-08
nue,0.5,0.75,5.0,7.5,2.9900564608715295e-08
nue,0.5,0.75,7.5,10.0,2.2613618254302558e-08
nue,0.5,0.75,10.0,12.5,3.144638808682733e-08
nue,0.5,0.75,12.5,15.0,3.164561000930746e-08
nue,0.5,0.75,15.0,17.5,2.23121295327881e-08
nue,0.5,0.75,17.5,20.0,5.7945274130249886e-08
nue,0.5,0.75,20.0,22.5,2.7358906552357127e-08
nue,0.5,0.75,22.5,25.0,2.7962106648590796e-08
nue,0.5,0.75,25.0,27.5,2.6007776701532918e-08
nue,0.5,0.75,27.5,30.0,1.580915489571263e-08
nue,0.5,0.75,30.0,32.5,2.7809772365361576e-08
nue,0.5,0.75,32.5,35.0,3.842380393435e-08
nue,0.5,0.75,35.0,37.5,2.415477027192359e-08
nue,0.5,0.75,37.5,40.0,4.4803395311765807e-08
nue,0.5,0.75,40.0,42.5,1.3625810532116478e-08
nue,0.5,0.75,42.5,45.0,1.2668697243524156e-08
nue,0.5,0.75,45.0,47.5,3.0452240778535514e-08
nue,0.5,0.75,47.5,50.0,2.1887509095477547e-08
nue,0.5,0.75,50.0,52.5,1.453202111842779e-08
nue,0.5,0.75,52.5,55.0,8.522291380076388e-09
nue,0.5,0.75,55.0,57.5,2.4310411337929362e-08
nue,0.5,0.75,57.5,60.0,5.179439725927727e-08
nue,0.5,0.75,60.0,62.5,3.916279465248878e-08
nue,0.5,0.75,62.5,65.0,1.4799679796971891e-08
nue,0.5,0.75,65.0,67.5,1.9557672103730166e-08
nue,0.5,0.75,67.5,70.0,9.343889296356716e-08
nue,0.5,0.75,70.0,72.5,2.6070336215831442e-08
nue,0.5,0.75,72.5,75.0,1.67950270015942e-08
nue,0.5,0.75,75.0,77.5,2.0696999412804637e-08
nue,0.5,0.75,77.5,80.0,3.255878292841701e-08
nue,0.5,0.75,80.0,82.5,3.131141381735198e-08
nue,0.5,0.75,82.5,85.0,2.8612614663144982e-08
nue,0.5,0.75,85.0,87.5,1.8324565688628933e-08
nue,0.5,0.75,87.5,90.0,2.6858898614369682e-08
nue,0.5,0.75,90.0,92.5,1.3893029101327605e-08
nue,0.5,0.75,92.5,95.0,3.2570451230442184e-08
nue,0.5,0.75,95.0,97.5,2.7763250461188405e-08
nue,0.5,0.75,97.5,100.0,1.4665720488170176e-08
nue,0.5,0.75,100.0,102.5,4.886182801746313e-09
nue,0.5,0.75,102.5,105.0,4.8174094785553505e-08
nue,0.5,0.75,105.0,107.5,8.701340812623865e-09
nue,0.5,0.75,107.5,110.0,4.8602542570698005e-08
nue,0.5,0.75,110.0,112.5,9.218591299459807e-09
nue,0.5,0.75,112.5,115.0,5.871089026121971e-09
nue,0.5,0.75,115.0,117.5,1.5612378845406498e-08
nue,0.5,0.75,117.5,120.0,1.3265616566681032e-08
nue,0.5,0.75,120.0,122.5,6.87950960531318e-08
nue,0.5,0.75,122.5,125.0,3.9407257446985885e-09
nue,0.5,0.75,125.0,127.5,3.49453563938261e-08
nue,0.5,0.75,127.5,130.0,3.918525308517392e-08
