flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,2.587266223566696e-08
nue,0.5,0.75,2.425,4.85,3.69947595560101e-08
nue,0.5,0.75,4.85,7.2749999999999995,2.9672974058082656e-08
nue,0.5,0.75,7.2749999999999995,9.7,2.2468781317481796e-08
nue,0.5,0.75,9.7,12.125,2.6612649551759646e-08
nue,0.5,0.75,12.125,14.549999999999999,3.121265049989634e-08
nue,0.5,0.75,14.549999999999999,16.974999999999998,2.8014600248969292e-08
nue,0.5,0.75,16.974999999999998,19.4,4.751834371501774e-08
nue,0.5,0.75,19.4,21.825,2.7784812287691653e-08
nue,0.5,0.75,21.825,24.25,2.7843525830992332e-08
nue,0.5,0.75,24.25,26.674999999999997,3.225584876484961e-08
nue,0.5,0.75,26.674999999999997,29.099999999999998,1.4061964607998849e-08
nue,0.5,0.75,29.099999999999998,31.525,2.8241565162651676e-08
nue,0.5,0.75,31.525,33.949999999999996,3.782298119341903e-08
nue,0.5,0.75,33.949999999999996,36.375,3.0392411321025434e-08
nue,0.5,0.75,36.375,38.8,5.382182285441669e-09
nue,0.5,0.75,38.8,41.224999999999994,4.9087288481869256e-08
nue,0.5,0.75,41.224999999999994,43.65,1.7910828851222027e-08
nue,0.5,0.75,43.65,46.074999999999996,2.150029416956907e-08
nue,0.5,0.75,46.074999999999996,48.5,9.879731995163553e-09
nue,0.5,0.75,48.5,50.925,2.788026928641126e-08
nue,0.5,0.75,50.925,53.349999999999994,1.1287091970941003e-08
nue,0.5,0.75,53.349999999999994,55.775,6.705489268859099e-09
nue,0.5,0.75,55.775,58.199999999999996,3.5922601077114494e-08
nue,0.5,0.75,58.199999999999996,60.62499999999999,5.974456953333168e-08
nue,0.5,0.75,60.62499999999999,63.05,1.831500259285711e-08
nue,0.5,0.75,63.05,65.475,1.4352009054869767e-08
nue,0.5,0.75,65.475,67.89999999999999,1.9549279501928495e-08
nue,0.5,0.75,67.89999999999999,70.32499999999999,1.1026443689711648e-07
nue,0.5,0.75,70.32499999999999,72.75,9.244792282282108e-09
nue,0.5,0.75,72.75,75.175,1.67950270015942e-08
nue,0.5,0.75,75.175,77.6,2.0696999412804637e-08
nue,0.5,0.75,77.6,80.02499999999999,3.255878292841701e-08
nue,0.5,0.75,80.02499999999999,82.44999999999999,3.131141381735198e-08
nue,0.5,0.75,82.44999999999999,84.875,2.8612614663144982e-08
nue,0.5,0.75,84.875,87.3,1.8324565688628933e-08
nue,0.5,0.75,87.3,89.725,2.5106177058977832e-08
nue,0.5,0.75,89.725,92.14999999999999,1.555752854843592e-08
nue,0.5,0.75,92.14999999999999,94.57499999999999,3.2218216305339417e-08
nue,0.5,0.75,94.57499999999999,97.0,2.807525967575384e-08
nue,0.5,0.75,97.0,99.425,5.171923330175503e-09
