flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,4.527448109092245e-15
nue,0.5,0.75,2.425,4.85,5.414574173518421e-15
nue,0.5,0.75,4.85,7.2749999999999995,4.539693781002942e-15
nue,0.5,0.75,7.2749999999999995,9.7,3.881047990854692e-15
nue,0.5,0.75,9.7,12.125,3.58219978576711e-15
nue,0.5,0.75,12.125,14.549999999999999,3.2883299154913183e-15
nue,0.5,0.75,14.549999999999999,16.974999999999998,3.4072779117442377e-15
nue,0.5,0.75,16.974999999999998,19.4,2.9004170904610565e-15
nue,0.5,0.75,19.4,21.825,3.066970359994271e-15
nue,0.5,0.75,21.825,24.25,1.7579007584530784e-15
nue,0.5,0.75,24.25,26.674999999999997,1.1766858204506726e-15
nue,0.5,0.75,26.674999999999997,29.099999999999998,7.155562530154991e-16
nue,0.5,0.75,29.099999999999998,31.525,7.472526927639956e-16
nue,0.5,0.75,31.525,33.949999999999996,4.574964118215935e-16
nue,0.5,0.75,33.949999999999996,36.375,6.867701898863795e-16
nue,0.5,0.75,36.375,38.8,6.265211170352249e-16
nue,0.5,0.75,38.8,41.224999999999994,2.7338178384337356e-16
nue,0.5,0.75,41.224999999999994,43.65,5.281445544449653e-16
nue,0.5,0.75,43.65,46.074999999999996,2.3603211445576568e-16
nue,0.5,0.75,46.074999999999996,48.5,4.331932181333037e-16
nue,0.5,0.75,48.5,50.925,3.589348998645889e-16
nue,0.5,0.75,50.925,53.349999999999994,1.6046767453251654e-16
nue,0.5,0.75,53.349999999999994,55.775,1.3152343985238474e-16
nue,0.5,0.75,55.775,58.199999999999996,1.5532863455784083e-16
nue,0.5,0.75,58.199999999999996,60.62499999999999,9.374468126850531e-17
nue,0.5,0.75,60.62499999999999,63.05,2.092306515190118e-16
nue,0.5,0.75,63.05,65.475,1.3280328894471134e-16
nue,0.5,0.75,65.475,67.89999999999999,1.0537929389125787e-16
nue,0.5,0.75,67.89999999999999,70.32499999999999,8.973897599621525e-17
nue,0.5,0.75,70.32499999999999,72.75,1.3248098508331377e-16
nue,0.5,0.75,72.75,75.175,3.193684972357145e-16
nue,0.5,0.75,75.175,77.6,2.1960583655026843e-16
nue,0.5,0.75,77.6,80.02499999999999,2.341880012661414e-16
nue,0.5,0.75,80.02499999999999,82.44999999999999,3.3112902093623235e-16
nue,0.5,0.75,82.44999999999999,84.875,1.9587090600604644e-16
nue,0.5,0.75,84.875,87.3,1.265242773198568e-16
nue,0.5,0.75,87.3,89.725,1.1935227453075552e-16
nue,0.5,0.75,89.725,92.14999999999999,1.0382693339287827e-16
nue,0.5,0.75,92.14999999999999,94.57499999999999,2.988526035739133e-16
nue,0.5,0.75,94.57499999999999,97.0,7.20744879744829e-16
nue,0.5,0.75,97.0,99.425,8.697652900997861e-17
nue,0.5,0.75,99.425,101.85,1.1810945324799558e-16
nue,0.5,0.75,101.85,104.27499999999999,2.5445881489586096e-16
nue,0.5,0.75,104.27499999999999,106.69999999999999,2.1314198703684718e-16
nue,0.5,0.75,106.69999999999999,109.12499999999999,2.525723753066183e-16
nue,0.5,0.75,109.12499999999999,111.55,2.165217129082171e-16
nue,0.5,0.75,111.55,113.975,1.0660282079952514e-16
nue,0.5,0.75,113.975,116.39999999999999,7.91432875351058e-17
nue,0.5,0.75,116.39999999999999,118.82499999999999,8.485388512273811e-17
nue,0.5,0.75,118.82499999999999,121.24999999999999,1.6777769647558193e-16
nue,0.5,0.75,121.24999999999999,123.675,1.446239934710173e-16
nue,0.5,0.75,123.675,126.1,1.40453615974877e-16
nue,0.5,0.75,126.1,128.52499999999998,9.277962823966715e-17
nue,0.5,0.75,128.52499999999998,130.95,3.4927201440667877e-16
nue,0.5,0.75,130.95,133.375,1.6830571328733668e-16
nue,0.5,0.75,133.375,135.79999999999998,2.538744403775819e-16
nue,0.5,0.75,135.79999999999998,138.225,5.468584249946017e-16
nue,0.5,0.75,138.225,140.64999999999998,1.5094371021543564e-16
nue,0.5,0.75,140.64999999999998,143.075,5.563671407342014e-16
nue,0.5,0.75,143.075,145.5,1.0895751002057124e-16
nue,0.5,0.75,145.5,147.92499999999998,1.8942110076685694e-16
nue,0.5,0.75,147.92499999999998,150.35,1.4725103757829606e-16
nue,0.5,0.75,150.35,152.77499999999998,1.1289604285745303e-16
nue,0.5,0.75,152.77499999999998,155.2,4.2411976695695463e-16
nue,0.5,0.75,155.2,157.625,2.294576151368047e-16
nue,0.5,0.75,157.625,160.04999999999998,1.2858604998719857e-16
nue,0.5,0.75,160.04999999999998,162.475,2.1162997438629674e-16
nue,0.5,0.75,162.475,164.89999999999998,1.5459170270444672e-16
nue,0.5,0.75,164.89999999999998,167.325,1.9321177791572177e-16
nue,0.5,0.75,167.325,169.75,2.043216660346349e-16
nue,0.5,0.75,169.75,172.17499999999998,5.122203277447897e-17
nue,0.5,0.75,172.17499999999998,174.6,1.5294318163380757e-16
nue,0.5,0.75,174.6,177.02499999999998,6.381195797430252e-17
nue,0.5,0.75,177.02499999999998,179.45,1.8511758444410974e-16
nue,0.5,0.75,179.45,181.875,1.0600796640270395e-16
nue,0.5,0.75,181.875,184.29999999999998,1.6171068039079848e-16
nue,0.5,0.75,184.29999999999998,186.725,1.0784599910692481e-16
nue,0.5,0.75,186.725,189.14999999999998,1.1726095774871212e-16
nue,0.5,0.75,189.14999999999998,191.575,2.4945508366260413e-16
nue,0.5,0.75,191.575,194.0,3.341596791793307e-16
nue,0.75,1.0,0.0,2.425,3.811252223798718e-15
nue,0.75,1.0,2.425,4.85,4.142240430224139e-15
nue,0.75,1.0,4.85,7.2749999999999995,3.4742697167922837e-15
nue,0.75,1.0,7.2749999999999995,9.7,3.0473117914462687e-15
nue,0.75,1.0,9.7,12.125,2.9877885406196627e-15
nue,0.75,1.0,12.125,14.549999999999999,2.9693732746286514e-15
nue,0.75,1.0,14.549999999999999,16.974999999999998,2.6287514381628255e-15
nue,0.75,1.0,16.974999999999998,19.4,2.40465506109983e-15
nue,0.75,1.0,19.4,21.825,2.974884858575512e-15
nue,0.75,1.0,21.825,24.25,1.951898046164643e-15
nue,0.75,1.0,24.25,26.674999999999997,1.2028382151683176e-15
nue,0.75,1.0,26.674999999999997,29.099999999999998,1.0930763643509999e-15
nue,0.75,1.0,29.099999999999998,31.525,7.362569787690901e-16
nue,0.75,1.0,31.525,33.949999999999996,6.857690770335184e-16
nue,0.75,1.0,33.949999999999996,36.375,4.74164027533969e-16
nue,0.75,1.0,36.375,38.8,2.968457191314784e-16
nue,0.75,1.0,38.8,41.224999999999994,3.7951588204293454e-16
nue,0.75,1.0,41.224999999999994,43.65,4.832137166458697e-16
nue,0.75,1.0,43.65,46.074999999999996,5.206002703314127e-16
nue,0.75,1.0,46.074999999999996,48.5,5.043378065600391e-16
nue,0.75,1.0,48.5,50.925,3.1688625347721717e-16
nue,0.75,1.0,50.925,53.349999999999994,3.901625410230059e-16
nue,0.75,1.0,53.349999999999994,55.775,1.8573495015463945e-16
nue,0.75,1.0,55.775,58.199999999999996,3.308623469407838e-16
nue,0.75,1.0,58.199999999999996,60.62499999999999,2.7382217450913725e-16
nue,0.75,1.0,60.62499999999999,63.05,3.088460977555647e-16
nue,0.75,1.0,63.05,65.475,3.0063026522173107e-16
nue,0.75,1.0,65.475,67.89999999999999,1.022763542863342e-15
nue,0.75,1.0,67.89999999999999,70.32499999999999,9.418438644372747e-17
nue,0.75,1.0,70.32499999999999,72.75,1.846488885056565e-16
nue,0.75,1.0,72.75,75.175,3.986788145953363e-16
nue,0.75,1.0,75.175,77.6,2.3391517671210677e-16
nue,0.75,1.0,77.6,80.02499999999999,1.516668065896813e-16
nue,0.75,1.0,80.02499999999999,82.44999999999999,1.5657878968317156e-16
nue,0.75,1.0,82.44999999999999,84.875,1.4604358855134103e-16
nue,0.75,1.0,84.875,87.3,1.3853103257052936e-16
nue,0.75,1.0,87.3,89.725,1.37718252280165e-16
nue,0.75,1.0,89.725,92.14999999999999,1.5603592052046007e-16
nue,0.75,1.0,92.14999999999999,94.57499999999999,3.5994777988187337e-16
nue,0.75,1.0,94.57499999999999,97.0,2.802228509069744e-16
nue,0.75,1.0,97.0,99.425,1.658392108871866e-16
nue,0.75,1.0,99.425,101.85,3.132054406802216e-16
nue,0.75,1.0,101.85,104.27499999999999,1.0233715646253034e-16
nue,0.75,1.0,104.27499999999999,106.69999999999999,1.9729670105780777e-16
nue,0.75,1.0,106.69999999999999,109.12499999999999,1.2513624285034928e-16
nue,0.75,1.0,109.12499999999999,111.55,3.723049399621722e-16
nue,0.75,1.0,111.55,113.975,3.320376920914693e-16
nue,0.75,1.0,113.975,116.39999999999999,2.3690548523494236e-16
nue,0.75,1.0,116.39999999999999,118.82499999999999,1.4136799121971579e-16
nue,0.75,1.0,118.82499999999999,121.24999999999999,4.0804993965937273e-16
nue,0.75,1.0,121.24999999999999,123.675,1.4548947328792755e-16
nue,0.75,1.0,123.675,126.1,1.3885068360065017e-16
nue,0.75,1.0,126.1,128.52499999999998,6.358180304474891e-17
nue,0.75,1.0,128.52499999999998,130.95,1.6832801064012286e-16
nue,0.75,1.0,130.95,133.375,4.0265643285837726e-16
nue,0.75,1.0,133.375,135.79999999999998,1.6269793610488792e-16
nue,0.75,1.0,135.79999999999998,138.225,9.614385243888518e-17
nue,0.75,1.0,138.225,140.64999999999998,9.362690858998116e-17
nue,0.75,1.0,140.64999999999998,143.075,1.5373239797455628e-16
nue,0.75,1.0,143.075,145.5,7.04135713658639e-17
nue,0.75,1.0,145.5,147.92499999999998,2.354520072276919e-16
nue,0.75,1.0,147.92499999999998,150.35,6.877506129629986e-16
nue,0.75,1.0,150.35,152.77499999999998,2.492464136839889e-16
nue,0.75,1.0,152.77499999999998,155.2,1.9345411133684766e-16
nue,0.75,1.0,155.2,157.625,1.7505788063745512e-16
nue,0.75,1.0,157.625,160.04999999999998,1.218933121126796e-16
nue,0.75,1.0,160.04999999999998,162.475,9.88244562036943e-17
nue,0.75,1.0,162.475,164.89999999999998,5.5026223307574307e-17
nue,0.75,1.0,164.89999999999998,167.325,1.2881499179453792e-16
nue,0.75,1.0,167.325,169.75,7.530794610035261e-16
nue,0.75,1.0,169.75,172.17499999999998,2.1170447040715848e-16
