flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,-2.5,0.0,2.1239553803054373e-17
nue,0.5,0.75,0.0,2.5,4.343733027611424e-15
nue,0.5,0.75,2.5,5.0,5.096318339993201e-15
nue,0.5,0.75,5.0,7.5,4.293862774076307e-15
nue,0.5,0.75,7.5,10.0,3.68795349821482e-15
nue,0.5,0.75,10.0,12.5,3.369123516785607e-15
nue,0.5,0.75,12.5,15.0,3.299537681577776e-15
nue,0.5,0.75,15.0,17.5,3.17447186312703e-15
nue,0.5,0.75,17.5,20.0,2.9782252678448288e-15
nue,0.5,0.75,20.0,22.5,2.9605266784290752e-15
nue,0.5,0.75,22.5,25.0,1.3469672694530882e-15
nue,0.5,0.75,25.0,27.5,9.654435280247711e-16
nue,0.5,0.75,27.5,30.0,6.569741227834087e-16
nue,0.5,0.75,30.0,32.5,5.67074287371883e-16
nue,0.5,0.75,32.5,35.0,6.754160341381288e-16
nue,0.5,0.75,35.0,37.5,5.981682506116169e-16
nue,0.5,0.75,37.5,40.0,4.55637232323704e-16
nue,0.5,0.75,40.0,42.5,4.3681972386559743e-16
nue,0.5,0.75,42.5,45.0,2.7701954408429016e-16
nue,0.5,0.75,45.0,47.5,1.8861693391562673e-16
nue,0.5,0.75,47.5,50.0,4.864110934563115e-16
nue,0.5,0.75,50.0,52.5,2.4517826042947298e-16
nue,0.5,0.75,52.5,55.0,1.9974734688424846e-16
nue,0.5,0.75,55.0,57.5,1.322854723628046e-16
nue,0.5,0.75,57.5,60.0,1.5623754244402416e-16
nue,0.5,0.75,60.0,62.5,1.6895302441035466e-16
nue,0.5,0.75,62.5,65.0,1.0800741091795995e-16
nue,0.5,0.75,65.0,67.5,1.3441331724374844e-16
nue,0.5,0.75,67.5,70.0,1.3209720953002946e-16
nue,0.5,0.75,70.0,72.5,1.2474335027208303e-16
nue,0.5,0.75,72.5,75.0,3.8506970914147855e-16
nue,0.5,0.75,75.0,77.5,2.0111516716477768e-16
nue,0.5,0.75,77.5,80.0,2.303592309432334e-16
nue,0.5,0.75,80.0,82.5,3.082201251078926e-16
