flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,2.3630034068261404e-08
nue,0.5,0.75,2.425,4.85,2.8608968904366954e-08
nue,0.5,0.75,4.85,7.2749999999999995,2.410177611103478e-08
nue,0.5,0.75,7.2749999999999995,9.7,2.083459365163623e-08
nue,0.5,0.75,9.7,12.125,1.9494001788905592e-08
nue,0.5,0.75,12.125,14.549999999999999,1.801178918341377e-08
nue,0.5,0.75,14.549999999999999,16.974999999999998,1.895073085683949e-08
nue,0.5,0.75,16.974999999999998,19.4,1.646013238817103e-08
nue,0.5,0.75,19.4,21.825,1.7883130650427704e-08
nue,0.5,0.75,21.825,24.25,1.047402118525059e-08
nue,0.5,0.75,24.25,26.674999999999997,6.772974075151718e-09
nue,0.5,0.75,26.674999999999997,29.099999999999998,4.351715183228782e-09
nue,0.5,0.75,29.099999999999998,31.525,4.579653466028878e-09
nue,0.5,0.75,31.525,33.949999999999996,2.7780991155604513e-09
nue,0.5,0.75,33.949999999999996,36.375,4.0417299515704295e-09
nue,0.5,0.75,36.375,38.8,3.6500138127680744e-09
nue,0.5,0.75,38.8,41.224999999999994,2.027597496321991e-09
nue,0.5,0.75,41.224999999999994,43.65,3.988142277299913e-09
nue,0.5,0.75,43.65,46.074999999999996,1.8530890537300462e-09
nue,0.5,0.75,46.074999999999996,48.5,2.4813970880951885e-09
nue,0.5,0.75,48.5,50.925,2.120543298451371e-09
nue,0.5,0.75,50.925,53.349999999999994,1.6589545089574523e-09
nue,0.5,0.75,53.349999999999994,55.775,8.962478882461148e-10
nue,0.5,0.75,55.775,58.199999999999996,1.0597603614184475e-09
nue,0.5,0.75,58.199999999999996,60.62499999999999,1.0096173666393409e-09
nue,0.5,0.75,60.62499999999999,63.05,1.5234094300899023e-09
nue,0.5,0.75,63.05,65.475,8.303536590473607e-10
nue,0.5,0.75,65.475,67.89999999999999,9.932581157769092e-10
nue,0.5,0.75,67.89999999999999,70.32499999999999,7.458069641819066e-10
nue,0.5,0.75,70.32499999999999,72.75,1.1025774812336868e-09
nue,0.5,0.75,72.75,75.175,2.30334666087956e-09
nue,0.5,0.75,75.175,77.6,1.707751766844868e-09
nue,0.5,0.75,77.6,80.02499999999999,1.592341760584092e-09
nue,0.5,0.75,80.02499999999999,82.44999999999999,2.214043245155833e-09
nue,0.5,0.75,82.44999999999999,84.875,1.2444820212654992e-09
nue,0.5,0.75,84.875,87.3,9.134290831265082e-10
nue,0.5,0.75,87.3,89.725,9.287646021278814e-10
nue,0.5,0.75,89.725,92.14999999999999,7.587010452877139e-10
nue,0.5,0.75,92.14999999999999,94.57499999999999,3.3685520672638237e-09
nue,0.5,0.75,94.57499999999999,97.0,5.485750100402736e-09
nue,0.5,0.75,97.0,99.425,8.396704725082207e-10
nue,0.5,0.75,99.425,101.85,2.185043174165733e-09
nue,0.5,0.75,101.85,104.27499999999999,1.956386449908805e-09
nue,0.5,0.75,104.27499999999999,106.69999999999999,1.579958927970379e-09
nue,0.5,0.75,106.69999999999999,109.12499999999999,2.1066496300896314e-09
nue,0.5,0.75,109.12499999999999,111.55,1.677215936305024e-09
nue,0.5,0.75,111.55,113.975,8.637515863890324e-10
nue,0.5,0.75,113.975,116.39999999999999,7.020953824752601e-10
nue,0.5,0.75,116.39999999999999,118.82499999999999,9.657483867415478e-10
nue,0.5,0.75,118.82499999999999,121.24999999999999,1.3501837418219893e-09
nue,0.5,0.75,121.24999999999999,123.675,1.1682835114072013e-09
nue,0.5,0.75,123.675,126.1,1.2101304252992648e-09
nue,0.5,0.75,126.1,128.52499999999998,8.198479710842454e-10
nue,0.5,0.75,128.52499999999998,130.95,2.924042530540233e-09
nue,0.5,0.75,130.95,133.375,1.4794250358827215e-09
nue,0.5,0.75,133.375,135.79999999999998,2.1924368288727973e-09
nue,0.5,0.75,135.79999999999998,138.225,4.496225094757121e-09
nue,0.5,0.75,138.225,140.64999999999998,1.3201989626945024e-09
nue,0.5,0.75,140.64999999999998,143.075,5.247414064367747e-09
nue,0.5,0.75,143.075,145.5,9.667219594651862e-10
nue,0.5,0.75,145.5,147.92499999999998,1.7393980799951665e-09
nue,0.5,0.75,147.92499999999998,150.35,1.4910317179916474e-09
nue,0.5,0.75,150.35,152.77499999999998,1.0827371272954606e-09
nue,0.5,0.75,152.77499999999998,155.2,3.955616923644955e-09
nue,0.5,0.75,155.2,157.625,3.0093608642287484e-09
nue,0.5,0.75,157.625,160.04999999999998,1.279526015828982e-09
nue,0.5,0.75,160.04999999999998,162.475,2.098023816612303e-09
nue,0.5,0.75,162.475,164.89999999999998,1.5979495173021062e-09
nue,0.5,0.75,164.89999999999998,167.325,1.973714334548743e-09
nue,0.5,0.75,167.325,169.75,1.8066567500139066e-09
nue,0.5,0.75,169.75,172.17499999999998,6.266649480413516e-10
nue,0.5,0.75,172.17499999999998,174.6,1.666970603887198e-09
nue,0.5,0.75,174.6,177.02499999999998,8.284091868348796e-10
