flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.0,0.25,0.0,2.425,1.6865416869302422e-08
nue,0.0,0.25,2.425,4.85,1.9873641280485512e-08
nue,0.0,0.25,4.85,7.2749999999999995,1.8405243642996e-08
nue,0.0,0.25,7.2749999999999995,9.7,1.6310067603695214e-08
nue,0.0,0.25,9.7,12.125,1.3684593575106646e-08
nue,0.0,0.25,12.125,14.549999999999999,1.446651472193983e-08
nue,0.0,0.25,14.549999999999999,16.974999999999998,1.206661414876463e-08
nue,0.0,0.25,16.974999999999998,19.4,1.1979138590686982e-08
nue,0.0,0.25,19.4,21.825,1.3187776935871609e-08
nue,0.0,0.25,21.825,24.25,1.3825435048257829e-08
nue,0.0,0.25,24.25,26.674999999999997,9.453764256246115e-09
nue,0.0,0.25,26.674999999999997,29.099999999999998,6.811684363549921e-09
nue,0.0,0.25,29.099999999999998,31.525,6.649192974174259e-09
nue,0.0,0.25,31.525,33.949999999999996,4.973414249554049e-09
nue,0.0,0.25,33.949999999999996,36.375,5.700619052509252e-09
nue,0.0,0.25,36.375,38.8,4.063514627870276e-09
nue,0.0,0.25,38.8,41.224999999999994,4.325803395978629e-09
nue,0.0,0.25,41.224999999999994,43.65,4.064072716173236e-09
nue,0.0,0.25,43.65,46.074999999999996,3.1986254912048983e-09
nue,0.0,0.25,46.074999999999996,48.5,3.0568050893990084e-09
nue,0.0,0.25,48.5,50.925,2.2537948154283856e-09
nue,0.0,0.25,50.925,53.349999999999994,2.526333259081193e-09
nue,0.0,0.25,53.349999999999994,55.775,2.124253973000243e-09
nue,0.0,0.25,55.775,58.199999999999996,2.597886178579681e-09
nue,0.0,0.25,58.199999999999996,60.62499999999999,2.1222308151768657e-09
nue,0.0,0.25,60.62499999999999,63.05,1.4511046959555183e-09
nue,0.0,0.25,63.05,65.475,1.3932347917783686e-09
nue,0.0,0.25,65.475,67.89999999999999,1.4305600425609123e-09
nue,0.0,0.25,67.89999999999999,70.32499999999999,1.3827184938499369e-09
nue,0.0,0.25,70.32499999999999,72.75,1.144407715086158e-09
nue,0.0,0.25,72.75,75.175,1.2309139559217315e-09
nue,0.0,0.25,75.175,77.6,1.454835038623788e-09
nue,0.0,0.25,77.6,80.02499999999999,1.253323960410246e-09
nue,0.0,0.25,80.02499999999999,82.44999999999999,1.3025577298998676e-09
nue,0.0,0.25,82.44999999999999,84.875,1.5759506930100378e-09
nue,0.0,0.25,84.875,87.3,1.2777358923679491e-09
nue,0.0,0.25,87.3,89.725,1.7675292239042675e-09
nue,0.0,0.25,89.725,92.14999999999999,9.863131577216713e-10
nue,0.0,0.25,92.14999999999999,94.57499999999999,1.574929667498532e-09
nue,0.0,0.25,94.57499999999999,97.0,1.0181488233121862e-09
nue,0.0,0.25,97.0,99.425,9.001259882757448e-10
nue,0.0,0.25,99.425,101.85,1.4933828484431745e-09
nue,0.0,0.25,101.85,104.27499999999999,1.0353241601895437e-09
nue,0.0,0.25,104.27499999999999,106.69999999999999,1.2620162581336324e-09
nue,0.0,0.25,106.69999999999999,109.12499999999999,1.7681899965520418e-09
nue,0.0,0.25,109.12499999999999,111.55,8.155544176631494e-10
nue,0.0,0.25,111.55,113.975,1.1872303011679328e-09
