flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,-2.5,0.0,1.0751813749450197e-10
nue,0.5,0.75,0.0,2.5,2.2237207074417075e-08
nue,0.5,0.75,2.5,5.0,2.6372656577780966e-08
nue,0.5,0.75,5.0,7.5,2.211339846490339e-08
nue,0.5,0.75,7.5,10.0,1.909419921034373e-08
nue,0.5,0.75,10.0,12.5,1.7537905621349056e-08
nue,0.5,0.75,12.5,15.0,1.6917668847848663e-08
nue,0.5,0.75,15.0,17.5,1.687517126841865e-08
nue,0.5,0.75,17.5,20.0,1.5813151442269637e-08
nue,0.5,0.75,20.0,22.5,1.6648397542217946e-08
nue,0.5,0.75,22.5,25.0,7.326177540327348e-09
nue,0.5,0.75,25.0,27.5,5.3311036717355965e-09
nue,0.5,0.75,27.5,30.0,3.75299058783316e-09
nue,0.5,0.75,30.0,32.5,3.4519323494782893e-09
nue,0.5,0.75,32.5,35.0,3.734830072985056e-09
nue,0.5,0.75,35.0,37.5,3.426229175928845e-09
nue,0.5,0.75,37.5,40.0,2.864750850960423e-09
nue,0.5,0.75,40.0,42.5,2.9045503508508673e-09
nue,0.5,0.75,42.5,45.0,2.196927720793319e-09
nue,0.5,0.75,45.0,47.5,1.1134234511576173e-09
nue,0.5,0.75,47.5,50.0,2.70527983896906e-09
nue,0.5,0.75,50.0,52.5,1.8515194204545925e-09
nue,0.5,0.75,52.5,55.0,1.1906134977420717e-09
nue,0.5,0.75,55.0,57.5,9.071148155045083e-10
nue,0.5,0.75,57.5,60.0,9.739785006554868e-10
nue,0.5,0.75,60.0,62.5,1.4077320960596438e-09
nue,0.5,0.75,62.5,65.0,6.15150426088892e-10
nue,0.5,0.75,65.0,67.5,9.396098944865414e-10
nue,0.5,0.75,67.5,70.0,9.608993205910986e-10
nue,0.5,0.75,70.0,72.5,1.0111690728217006e-09
nue,0.5,0.75,72.5,75.0,2.1179628128834357e-09
nue,0.5,0.75,75.0,77.5,1.5367452999672503e-09
nue,0.5,0.75,77.5,80.0,1.4292731794005832e-09
nue,0.5,0.75,80.0,82.5,2.0320060311062108e-09
nue,0.5,0.75,82.5,85.0,1.1656843067557081e-09
nue,0.5,0.75,85.0,87.5,7.696988324784127e-10
nue,0.5,0.75,87.5,90.0,9.21809895113501e-10
nue,0.5,0.75,90.0,92.5,7.631120271858679e-10
nue,0.5,0.75,92.5,95.0,6.85396395478506e-09
nue,0.5,0.75,95.0,97.5,1.0323993062710463e-09
nue,0.5,0.75,97.5,100.0,1.0373607195644048e-09
nue,0.5,0.75,100.0,102.5,1.7846857358602613e-09
nue,0.5,0.75,102.5,105.0,1.7886265014878907e-09
nue,0.5,0.75,105.0,107.5,1.6790416598375502e-09
nue,0.5,0.75,107.5,110.0,1.817884247693838e-09
nue,0.5,0.75,110.0,112.5,1.4860836818558243e-09
nue,0.5,0.75,112.5,115.0,7.966509070208201e-10
nue,0.5,0.75,115.0,117.5,7.135794061695964e-10
nue,0.5,0.75,117.5,120.0,7.944222562725898e-10
nue,0.5,0.75,120.0,122.5,1.577369511362173e-09
nue,0.5,0.75,122.5,125.0,7.840763965038527e-10
nue,0.5,0.75,125.0,127.5,1.238740752645498e-09
nue,0.5,0.75,127.5,130.0,2.648802013820335e-09
nue,0.5,0.75,130.0,132.5,6.773706811748668e-10
nue,0.5,0.75,132.5,135.0,2.368615252489259e-09
nue,0.5,0.75,135.0,137.5,4.11750296391373e-09
nue,0.5,0.75,137.5,140.0,1.1741409200606429e-09
nue,0.5,0.75,140.0,142.5,4.8214175357760815e-09
nue,0.5,0.75,142.5,145.0,6.003269682322354e-10
nue,0.5,0.75,145.0,147.5,1.751885395535867e-09
nue,0.5,0.75,147.5,150.0,1.2624511158514143e-09
nue,0.5,0.75,150.0,152.5,1.191493511767904e-09
nue,0.5,0.75,152.5,155.0,3.248667867392692e-09
nue,0.5,0.75,155.0,157.5,3.1761820228876164e-09
nue,0.5,0.75,157.5,160.0,1.0755400638970402e-09
nue,0.5,0.75,160.0,162.5,2.1536929355027506e-09
nue,0.5,0.75,162.5,165.0,1.3404235264608428e-09
nue,0.5,0.75,165.0,167.5,1.7276595752657457e-09
nue,0.5,0.75,167.5,170.0,1.799938910404178e-09
nue,0.5,0.75,170.0,172.5,5.599760294715469e-10
nue,0.5,0.75,172.5,175.0,1.7325968560137317e-09
nue,0.5,0.75,175.0,177.5,6.863832267255241e-10
nue,0.5,0.75,177.5,180.0,2.0017262835478838e-09
nue,0.5,0.75,180.0,182.5,1.1041290837220586e-09
nue,0.5,0.75,182.5,185.0,1.5046212247150904e-09
nue,0.5,0.75,185.0,187.5,1.7666662524155892e-09
nue,0.5,0.75,187.5,190.0,2.64699901207347e-09
nue,0.5,0.75,190.0,192.5,7.812969343182217e-10
nue,0.5,0.75,192.5,195.0,3.783472025947312e-09
nue,0.5,0.75,195.0,197.5,1.9589970062129063e-09
nue,0.5,0.75,197.5,200.0,1.0693072760581154e-09
nue,0.5,0.75,200.0,202.5,6.915773567601529e-10
nue,0.5,0.75,202.5,205.0,8.14905033412042e-10
nue,0.5,0.75,205.0,207.5,1.057802392468736e-09
nue,0.5,0.75,207.5,210.0,1.6213199808390888e-09
nue,0.5,0.75,210.0,212.5,1.7011618315161847e-09
nue,0.5,0.75,212.5,215.0,9.290899201609631e-10
nue,0.5,0.75,215.0,217.5,7.709743658392469e-10
nue,0.5,0.75,217.5,220.0,1.380355554638476e-09
nue,0.5,0.75,220.0,222.5,1.4697870905320426e-09
nue,0.5,0.75,222.5,225.0,1.125279836905865e-09
nue,0.5,0.75,225.0,227.5,2.9369347199333996e-09
nue,0.5,0.75,227.5,230.0,2.187352362496313e-09
nue,0.5,0.75,230.0,232.5,3.5754898705119063e-10
nue,0.5,0.75,232.5,235.0,1.4007125921052413e-10
nue,0.5,0.75,235.0,237.5,5.4203362634137686e-11
nue,0.5,0.75,237.5,240.0,5.650743447971722e-11
nue,0.5,0.75,242.5,245.0,3.662617303093308e-11
nue,0.5,0.75,255.0,257.5,1.9697761867339332e-10
nue,0.5,0.75,260.0,262.5,4.6597893613684034e-11
nue,0.5,0.75,262.5,265.0,1.8627457427166912e-11
nue,0.5,0.75,265.0,267.5,1.0863050422813487e-10
nue,0.5,0.75,267.5,270.0,1.601026993961982e-10
nue,0.5,0.75,275.0,277.5,6.536367424295454e-10
