flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,2.1264969665746653e-08
nue,0.5,0.75,2.425,4.85,2.5745576758891812e-08
nue,0.5,0.75,4.85,7.2749999999999995,2.16894963592188e-08
nue,0.5,0.75,7.2749999999999995,9.7,1.874931710721819e-08
nue,0.5,0.75,9.7,12.125,1.7542901356281813e-08
nue,0.5,0.75,12.125,14.549999999999999,1.620903928892636e-08
nue,0.5,0.75,14.549999999999999,16.974999999999998,1.705400490114786e-08
nue,0.5,0.75,16.974999999999998,19.4,1.4812683507670636e-08
nue,0.5,0.75,19.4,21.825,1.6093257830749672e-08
nue,0.5,0.75,21.825,24.25,9.425705529637822e-09
nue,0.5,0.75,24.25,26.674999999999997,6.095085933390137e-09
nue,0.5,0.75,26.674999999999997,29.099999999999998,3.918229819873673e-09
nue,0.5,0.75,29.099999999999998,31.525,4.121288685128877e-09
nue,0.5,0.75,31.525,33.949999999999996,2.5000469000668342e-09
nue,0.5,0.75,33.949999999999996,36.375,3.6372044394436418e-09
nue,0.5,0.75,36.375,38.8,3.284694079739858e-09
nue,0.5,0.75,38.8,41.224999999999994,1.8246609009990037e-09
nue,0.5,0.75,41.224999999999994,43.65,3.588980206481108e-09
nue,0.5,0.75,43.65,46.074999999999996,1.667618523175321e-09
nue,0.5,0.75,46.074999999999996,48.5,2.3327860598092476e-09
nue,0.5,0.75,48.5,50.925,1.908304016245057e-09
nue,0.5,0.75,50.925,53.349999999999994,1.4929143651644949e-09
nue,0.5,0.75,53.349999999999994,55.775,8.065449292830995e-10
nue,0.5,0.75,55.775,58.199999999999996,9.536918936901931e-10
nue,0.5,0.75,58.199999999999996,60.62499999999999,9.085675718272986e-10
nue,0.5,0.75,60.62499999999999,63.05,1.3709356163343726e-09
nue,0.5,0.75,63.05,65.475,7.503912121478586e-10
nue,0.5,0.75,65.475,67.89999999999999,8.938456728939744e-10
