flavor,z_decay_m_bin_low,z_decay_m_bin_high,z_center_m,source_profile_shape,root_rebuilt_shape,delta_shape,relative_delta
nue,-5.0,-2.5,0.0,0.0,0.0,0.0,
nue,-2.5,0.0,0.0,0.0,0.0,0.0,
nue,0.0,2.5,1.25,0.0110562772029192,0.011056277202919207,6.938893903907228e-18,6.275976783645714e-16
nue,2.5,5.0,3.75,0.014971770551728226,0.014971770551728223,-3.469446951953614e-18,-2.3173257564738245e-16
nue,5.0,7.5,6.25,0.017244942925327512,0.01724494292532751,-3.469446951953614e-18,-2.0118634007527302e-16
nue,7.5,10.0,8.75,0.018826157562567652,0.018826157562567638,-1.3877787807814457e-17,-7.371545553941333e-16
nue,10.0,12.5,11.25,0.015577066464916805,0.015577066464916798,-6.938893903907228e-18,-4.454557550701372e-16
nue,12.5,15.0,13.75,0.013558257009962682,0.013558257009962677,-5.204170427930421e-18,-3.838377177911857e-16
nue,15.0,17.5,16.25,0.015454069476354332,0.015454069476354328,-3.469446951953614e-18,-2.245005406027247e-16
nue,17.5,20.0,18.75,0.01592789909059103,0.01592789909059102,-1.0408340855860843e-17,-6.534660218942048e-16
nue,20.0,22.5,21.25,0.014839738936597699,0.0148397389365977,1.734723475976807e-18,1.1689716937665526e-16
nue,22.5,25.0,23.75,0.01114444704613752,0.011144447046137524,5.204170427930421e-18,4.669743062518387e-16
nue,25.0,27.5,26.25,0.014334467405801058,0.014334467405801066,8.673617379884035e-18,6.050882208831759e-16
nue,27.5,30.0,28.75,0.012697626211105876,0.012697626211105883,6.938893903907228e-18,5.464717411383697e-16
nue,30.0,32.5,31.25,0.011769751443897422,0.011769751443897431,8.673617379884035e-18,7.369414232091772e-16
nue,32.5,35.0,33.75,0.015807754882124325,0.015807754882124322,-3.469446951953614e-18,-2.194775271899568e-16
nue,35.0,37.5,36.25,0.014564403553395236,0.014564403553395238,1.734723475976807e-18,1.1910707291356332e-16
nue,37.5,40.0,38.75,0.013789780776057583,0.013789780776057586,3.469446951953614e-18,2.5159551179939124e-16
nue,40.0,42.5,41.25,0.017562864551314224,0.017562864551314204,-2.0816681711721685e-17,-1.1852668823414674e-15
nue,42.5,45.0,43.75,0.016942945582051235,0.01694294558205123,-3.469446951953614e-18,-2.0477235998615408e-16
nue,45.0,47.5,46.25,0.01190823832567399,0.011908238325673996,6.938893903907228e-18,5.826969291458565e-16
nue,47.5,50.0,48.75,0.013563782951938138,0.013563782951938143,5.204170427930421e-18,3.8368134069756654e-16
nue,50.0,52.5,51.25,0.013358734835175209,0.01335873483517521,1.734723475976807e-18,1.298568687364813e-16
nue,52.5,55.0,53.75,0.010568501556530172,0.010568501556530174,1.734723475976807e-18,1.6414091124440804e-16
nue,55.0,57.5,56.25,0.012956967590112733,0.012956967590112738,5.204170427930421e-18,4.016503392276481e-16
nue,57.5,60.0,58.75,0.009713883107441418,0.009713883107441439,2.0816681711721685e-17,2.1429825211479905e-15
nue,60.0,62.5,61.25,0.012418730933469084,0.01241873093346909,5.204170427930421e-18,4.190581514174632e-16
nue,62.5,65.0,63.75,0.009433556973512924,0.009433556973512945,2.0816681711721685e-17,2.2066630614697868e-15
nue,65.0,67.5,66.25,0.01326376464159558,0.013263764641595583,3.469446951953614e-18,2.615733199210517e-16
nue,67.5,70.0,68.75,0.013964711784044046,0.01396471178404405,3.469446951953614e-18,2.4844386376221334e-16
nue,70.0,72.5,71.25,0.010150307314959818,0.01015030731495983,1.214306433183765e-17,1.1963247963872827e-15
nue,72.5,75.0,73.75,0.009889499742811498,0.009889499742811508,1.0408340855860843e-17,1.0524638380648607e-15
nue,75.0,77.5,76.25,0.010586085371256158,0.010586085371256172,1.3877787807814457e-17,1.310946144974051e-15
nue,77.5,80.0,78.75,0.009826812886151089,0.009826812886151103,1.3877787807814457e-17,1.4122369041311859e-15
nue,80.0,82.5,81.25,0.013313988287591437,0.013313988287591446,8.673617379884035e-18,6.514665021876126e-16
