flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.5,0.01572040741450029
nue,0.5,0.75,2.5,5.0,0.022464149446661176
nue,0.5,0.75,5.0,7.5,0.017394607056940212
nue,0.5,0.75,7.5,10.0,0.013334303912951893
nue,0.5,0.75,10.0,12.5,0.018330035409205057
nue,0.5,0.75,12.5,15.0,0.017682733520541647
nue,0.5,0.75,15.0,17.5,0.01297880958051744
nue,0.5,0.75,17.5,20.0,0.03207049266088002
nue,0.5,0.75,20.0,22.5,0.015309451627210766
nue,0.5,0.75,22.5,25.0,0.015180086395964004
nue,0.5,0.75,25.0,27.5,0.014301193157389912
nue,0.5,0.75,27.5,30.0,0.008754371741569447
nue,0.5,0.75,30.0,32.5,0.015274674240923448
nue,0.5,0.75,32.5,35.0,0.020803458783957365
nue,0.5,0.75,35.0,37.5,0.012999698639977275
nue,0.5,0.75,37.5,40.0,0.02385419680918764
nue,0.5,0.75,40.0,42.5,0.007008475527160627
nue,0.5,0.75,42.5,45.0,0.00642469669872499
nue,0.5,0.75,45.0,47.5,0.015629516085073965
nue,0.5,0.75,47.5,50.0,0.011007352257586754
nue,0.5,0.75,50.0,52.5,0.007249418180957455
nue,0.5,0.75,52.5,55.0,0.004465219072914855
nue,0.5,0.75,55.0,57.5,0.013968176573687598
nue,0.5,0.75,57.5,60.0,0.01693908097705397
nue,0.5,0.75,60.0,62.5,0.01825186901551729
nue,0.5,0.75,62.5,65.0,0.007527284196412279
nue,0.5,0.75,65.0,67.5,0.005634580920743209
nue,0.5,0.75,67.5,70.0,0.04545072548291407
nue,0.5,0.75,70.0,72.5,0.01274411794140697
nue,0.5,0.75,72.5,75.0,0.007519478565728718
nue,0.5,0.75,75.0,77.5,0.009472450258244468
nue,0.5,0.75,77.5,80.0,0.013779546690789762
nue,0.5,0.75,80.0,82.5,0.01523930242484572
nue,0.5,0.75,82.5,85.0,0.012911554539724195
nue,0.5,0.75,85.0,87.5,0.008950475422536073
nue,0.5,0.75,87.5,90.0,0.0116061848989339
nue,0.5,0.75,90.0,92.5,0.005927351002851756
nue,0.5,0.75,92.5,95.0,0.015312759932484767
nue,0.5,0.75,95.0,97.5,0.011149917698086815
nue,0.5,0.75,97.5,100.0,0.00622581039224981
nue,0.5,0.75,100.0,102.5,0.002030803080485639
nue,0.5,0.75,102.5,105.0,0.020760217897363643
nue,0.5,0.75,105.0,107.5,0.0036325970246351407
nue,0.5,0.75,107.5,110.0,0.018891872153864904
nue,0.5,0.75,110.0,112.5,0.0036440080659201693
nue,0.5,0.75,112.5,115.0,0.002580339257233748
nue,0.5,0.75,115.0,117.5,0.006443736772419847
nue,0.5,0.75,117.5,120.0,0.0051254410395853945
nue,0.5,0.75,120.0,122.5,0.03410612760732497
nue,0.5,0.75,122.5,125.0,0.0014592793970358605
nue,0.5,0.75,125.0,127.5,0.013490679209676596
nue,0.5,0.75,127.5,130.0,0.015624865881316901
nue,0.5,0.75,130.0,132.5,0.006467710734252048
nue,0.5,0.75,132.5,135.0,0.01278050081708133
nue,0.5,0.75,135.0,137.5,0.008426523146521077
nue,0.5,0.75,137.5,140.0,0.013798492240665497
nue,0.5,0.75,140.0,142.5,0.006758898544819795
nue,0.5,0.75,142.5,145.0,0.0035968432887099546
nue,0.5,0.75,145.0,147.5,0.005715957406828821
nue,0.5,0.75,147.5,150.0,0.007508688834717034
nue,0.5,0.75,150.0,152.5,0.003549284714953467
nue,0.5,0.75,152.5,155.0,0.02481573459409101
nue,0.5,0.75,155.0,157.5,0.019243793444923486
nue,0.5,0.75,157.5,160.0,0.011999302161634352
nue,0.5,0.75,160.0,162.5,0.0026544086833489126
nue,0.5,0.75,162.5,165.0,0.0015874218306232129
nue,0.5,0.75,165.0,167.5,0.0021714338954515857
nue,0.5,0.75,167.5,170.0,0.00831528093461299
nue,0.5,0.75,170.0,172.5,0.006528360357658091
nue,0.5,0.75,172.5,175.0,0.006184695281115537
nue,0.5,0.75,175.0,177.5,2.7025900715159626e-05
nue,0.5,0.75,177.5,180.0,0.016500939035547058
nue,0.5,0.75,180.0,182.5,0.00411926311973469
nue,0.5,0.75,182.5,185.0,0.0005505535706830928
nue,0.5,0.75,185.0,187.5,0.011030317235028082
nue,0.5,0.75,187.5,190.0,0.0052513000656168995
nue,0.5,0.75,190.0,192.5,0.00869378789501254
nue,0.5,0.75,192.5,195.0,0.0020363616996743497
nue,0.5,0.75,195.0,197.5,0.0036042952744111943
nue,0.5,0.75,197.5,200.0,0.01833960639923123
nue,0.5,0.75,200.0,202.5,0.000846912045948298
nue,0.5,0.75,202.5,205.0,0.0026689232107929843
nue,0.5,0.75,205.0,207.5,0.0020879693797187945
nue,0.5,0.75,207.5,210.0,0.02765609257882555
nue,0.5,0.75,210.0,212.5,0.006181009944645158
nue,0.5,0.75,212.5,215.0,0.010120625180013849
nue,0.5,0.75,215.0,217.5,0.01341129118886235
nue,0.5,0.75,217.5,220.0,0.0011283703375874238
nue,0.5,0.75,220.0,222.5,0.001679339650436547
nue,0.5,0.75,222.5,225.0,0.008819776752636052
nue,0.5,0.75,225.0,227.5,0.0016136268737340362
nue,0.5,0.75,227.5,230.0,0.0020410329495230304
nue,0.5,0.75,230.0,232.5,0.0009023404339444573
nue,0.5,0.75,232.5,235.0,0.00046089453895709027
nue,0.5,0.75,245.0,247.5,0.0011153376820974155
nue,0.5,0.75,270.0,272.5,6.847433553074796e-05
nue,0.5,0.75,277.5,280.0,6.754619287611011e-05
nue,0.5,0.75,280.0,282.5,9.787435754423168e-05
nue,0.5,0.75,282.5,285.0,5.5350378540123784e-05
nue,0.5,0.75,287.5,290.0,3.943425883061499e-05
nue,0.5,0.75,295.0,297.5,7.639651378403415e-05
nue,0.5,0.75,325.0,327.5,0.00012068039705887405
nue,0.5,0.75,345.0,347.5,0.0008475840860673047
nue,0.5,0.75,357.5,360.0,0.0002818252420140193
nue,0.5,0.75,360.0,362.5,0.00021723781976739457
nue,0.5,0.75,375.0,377.5,5.079135593683685e-05
nue,0.5,0.75,377.5,380.0,0.0004484986647938195
nue,0.75,1.0,0.0,2.5,0.014723292581918797
nue,0.75,1.0,2.5,5.0,0.02065964090130665
nue,0.75,1.0,5.0,7.5,0.013737911478936271
nue,0.75,1.0,7.5,10.0,0.01622131170986059
nue,0.75,1.0,10.0,12.5,0.016615243461701852
nue,0.75,1.0,12.5,15.0,0.012905848719053908
nue,0.75,1.0,15.0,17.5,0.018160653937603792
nue,0.75,1.0,17.5,20.0,0.011970670982550885
