flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.5,0.010433898242245509
nue,0.5,0.75,2.5,5.0,0.014939540043764705
nue,0.5,0.75,5.0,7.5,0.01171157419316468
nue,0.5,0.75,7.5,10.0,0.00885739354513636
nue,0.5,0.75,10.0,12.5,0.01231704859106846
nue,0.5,0.75,12.5,15.0,0.012395080640180698
nue,0.5,0.75,15.0,17.5,0.008739305222169048
nue,0.5,0.75,17.5,20.0,0.02269623955267664
nue,0.5,0.75,20.0,22.5,0.010716047276190773
nue,0.5,0.75,22.5,25.0,0.010952311131834007
nue,0.5,0.75,25.0,27.5,0.010186831266406297
nue,0.5,0.75,27.5,30.0,0.006192193790160214
nue,0.5,0.75,30.0,32.5,0.010892644223079999
nue,0.5,0.75,32.5,35.0,0.015049991077077784
nue,0.5,0.75,35.0,37.5,0.00946103820648343
nue,0.5,0.75,37.5,40.0,0.017548775254447504
nue,0.5,0.75,40.0,42.5,0.005337012630937852
nue,0.5,0.75,42.5,45.0,0.004962126623355722
nue,0.5,0.75,45.0,47.5,0.01192765694872466
nue,0.5,0.75,47.5,50.0,0.008572988170281437
nue,0.5,0.75,50.0,52.5,0.00569196086201984
nue,0.5,0.75,52.5,55.0,0.0033380455887592293
nue,0.5,0.75,55.0,57.5,0.009522000329302293
nue,0.5,0.75,57.5,60.0,0.020287039199101395
nue,0.5,0.75,60.0,62.5,0.01533944195323347
nue,0.5,0.75,62.5,65.0,0.00579679849680149
nue,0.5,0.75,65.0,67.5,0.007660428185414937
nue,0.5,0.75,67.5,70.0,0.03659852386703838
nue,0.5,0.75,70.0,72.5,0.01021133483022803
nue,0.5,0.75,72.5,75.0,0.006578344167723254
nue,0.5,0.75,75.0,77.5,0.00810668451820121
nue,0.5,0.75,77.5,80.0,0.012752755905958889
nue,0.5,0.75,80.0,82.5,0.012264181322780553
nue,0.5,0.75,82.5,85.0,0.011207104744442881
nue,0.5,0.75,85.0,87.5,0.007177440072731738
nue,0.5,0.75,87.5,90.0,0.010520202142844885
nue,0.5,0.75,90.0,92.5,0.005441677881914258
nue,0.5,0.75,92.5,95.0,0.012757326193733197
nue,0.5,0.75,95.0,97.5,0.010874422335317631
nue,0.5,0.75,97.5,100.0,0.005744328772419127
nue,0.5,0.75,100.0,102.5,0.001913839860647231
nue,0.5,0.75,102.5,105.0,0.018869024470029853
nue,0.5,0.75,105.0,107.5,0.003408176395349838
nue,0.5,0.75,107.5,110.0,0.019036840633011417
nue,0.5,0.75,110.0,112.5,0.0036107751600321604
nue,0.5,0.75,112.5,115.0,0.0022996119178318336
nue,0.5,0.75,115.0,117.5,0.006115119750162772
nue,0.5,0.75,117.5,120.0,0.005195930400373622
nue,0.5,0.75,120.0,122.5,0.02694594172704357
nue,0.5,0.75,122.5,125.0,0.00154351941302471
nue,0.5,0.75,125.0,127.5,0.013687538662516933
nue,0.5,0.75,127.5,130.0,0.015348238563066637
nue,0.5,0.75,130.0,132.5,0.004122972264305051
nue,0.5,0.75,132.5,135.0,0.014236295216956888
nue,0.5,0.75,135.0,137.5,0.01000025402811406
nue,0.5,0.75,137.5,140.0,0.014460844897983285
nue,0.5,0.75,140.0,142.5,0.009327010743990179
nue,0.5,0.75,142.5,145.0,0.003720426412182181
nue,0.5,0.75,145.0,147.5,0.006293515595903809
nue,0.5,0.75,147.5,150.0,0.012776655385233539
nue,0.5,0.75,150.0,152.5,0.008026425266845738
nue,0.5,0.75,152.5,155.0,0.031504465576144794
nue,0.5,0.75,155.0,157.5,0.025180042403826708
nue,0.5,0.75,157.5,160.0,0.014002983608211178
nue,0.5,0.75,160.0,162.5,0.0034283506926651506
nue,0.5,0.75,162.5,165.0,0.0020102349623985667
nue,0.5,0.75,165.0,167.5,0.002909194994314137
nue,0.5,0.75,167.5,170.0,0.011194898107450297
nue,0.5,0.75,170.0,172.5,0.008390163813213126
nue,0.5,0.75,172.5,175.0,0.008041377539122286
nue,0.5,0.75,175.0,177.5,3.709312107129976e-05
nue,0.5,0.75,177.5,180.0,0.02567552068437413
nue,0.5,0.75,180.0,182.5,0.005621185291436843
nue,0.5,0.75,182.5,185.0,0.0035493138247433154
nue,0.5,0.75,185.0,187.5,0.017325760589543018
nue,0.5,0.75,187.5,190.0,0.011606057208434552
nue,0.5,0.75,190.0,192.5,0.013358039318656036
nue,0.5,0.75,192.5,195.0,0.0026785907381392834
nue,0.5,0.75,195.0,197.5,0.004975718101230177
nue,0.5,0.75,197.5,200.0,0.028215382698306226
nue,0.5,0.75,200.0,202.5,0.01246578250204731
nue,0.5,0.75,202.5,205.0,0.004357700236257701
nue,0.5,0.75,205.0,207.5,0.003440862232909559
nue,0.5,0.75,207.5,210.0,0.047402701714628334
nue,0.5,0.75,210.0,212.5,0.008971780732163927
nue,0.5,0.75,212.5,215.0,0.017132139822988425
nue,0.5,0.75,215.0,217.5,0.015342833787297802
nue,0.5,0.75,217.5,220.0,0.0019226284372866338
nue,0.5,0.75,220.0,222.5,0.0026214933414507803
nue,0.5,0.75,222.5,225.0,0.012908195281352324
nue,0.5,0.75,225.0,227.5,0.0027859513786745514
nue,0.5,0.75,227.5,230.0,0.004635166986148304
nue,0.5,0.75,230.0,232.5,0.0015535284053478265
nue,0.5,0.75,232.5,235.0,0.0010069883073044164
nue,0.5,0.75,277.5,280.0,0.0001744767463056108
nue,0.5,0.75,282.5,285.0,8.733699660526006e-05
nue,0.5,0.75,287.5,290.0,0.0006295229321784521
