flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,0.012241350042781112
nue,0.5,0.75,2.425,4.85,0.01750364138597765
nue,0.5,0.75,4.85,7.2749999999999995,0.014039423502178657
nue,0.5,0.75,7.2749999999999995,9.7,0.010630843267563915
nue,0.5,0.75,9.7,12.125,0.012591466458362848
nue,0.5,0.75,12.125,14.549999999999999,0.014767903552093363
nue,0.5,0.75,14.549999999999999,16.974999999999998,0.01325478316968318
nue,0.5,0.75,16.974999999999998,19.4,0.02248275316897341
nue,0.5,0.75,19.4,21.825,0.013146061661088719
nue,0.5,0.75,21.825,24.25,0.01317384129308982
nue,0.5,0.75,24.25,26.674999999999997,0.015261480711219667
nue,0.5,0.75,26.674999999999997,29.099999999999998,0.006653255451169296
nue,0.5,0.75,29.099999999999998,31.525,0.013362168986052147
nue,0.5,0.75,31.525,33.949999999999996,0.01789550484727045
nue,0.5,0.75,33.949999999999996,36.375,0.014379816898470212
nue,0.5,0.75,36.375,38.8,0.0025465171210452627
nue,0.5,0.75,38.8,41.224999999999994,0.02322508118739984
nue,0.5,0.75,41.224999999999994,43.65,0.008474300925317974
nue,0.5,0.75,43.65,46.074999999999996,0.010172614806899715
nue,0.5,0.75,46.074999999999996,48.5,0.004674480599639907
nue,0.5,0.75,48.5,50.925,0.013191226032838184
nue,0.5,0.75,50.925,53.349999999999994,0.005340356648372996
nue,0.5,0.75,53.349999999999994,55.775,0.00317262447136417
nue,0.5,0.75,55.775,58.199999999999996,0.01699636203753071
nue,0.5,0.75,58.199999999999996,60.62499999999999,0.028267450104325752
nue,0.5,0.75,60.62499999999999,63.05,0.008665531043208009
nue,0.5,0.75,63.05,65.475,0.00679048661701419
nue,0.5,0.75,65.475,67.89999999999999,0.009249514846499647
nue,0.5,0.75,67.89999999999999,70.32499999999999,0.052170339373386734
nue,0.5,0.75,70.32499999999999,72.75,0.004374066239082538
nue,0.5,0.75,72.75,75.175,0.007946372222223509
nue,0.5,0.75,75.175,77.6,0.009792545210059844
nue,0.5,0.75,77.6,80.02499999999999,0.015404810497013163
nue,0.5,0.75,80.02499999999999,82.44999999999999,0.014814632270203172
nue,0.5,0.75,82.44999999999999,84.875,0.013537726753450201
nue,0.5,0.75,84.875,87.3,0.008670055711051202
nue,0.5,0.75,87.3,89.725,0.011878696471803797
nue,0.5,0.75,89.725,92.14999999999999,0.007360864182713474
nue,0.5,0.75,92.14999999999999,94.57499999999999,0.015243675349496978
nue,0.5,0.75,94.57499999999999,97.0,0.013283483473884595
nue,0.5,0.75,97.0,99.425,0.0024470355351304436
nue,0.5,0.75,99.425,101.85,0.005899995926782919
nue,0.5,0.75,101.85,104.27499999999999,0.009505478043195147
nue,0.5,0.75,104.27499999999999,106.69999999999999,0.01705209994845726
nue,0.5,0.75,106.69999999999999,109.12499999999999,0.006518042486165539
nue,0.5,0.75,109.12499999999999,111.55,0.019641885320197804
nue,0.5,0.75,111.55,113.975,0.004967951690493075
nue,0.5,0.75,113.975,116.39999999999999,0.003544436089700348
nue,0.5,0.75,116.39999999999999,118.82499999999999,0.00836704876724869
nue,0.5,0.75,118.82499999999999,121.24999999999999,0.030150476946077902
nue,0.5,0.75,121.24999999999999,123.675,0.005292167244875062
nue,0.5,0.75,123.675,126.1,0.009812655003669075
nue,0.5,0.75,126.1,128.52499999999998,0.007768835077782997
nue,0.5,0.75,128.52499999999998,130.95,0.023023622575003896
nue,0.5,0.75,130.95,133.375,0.003902098705529977
nue,0.5,0.75,133.375,135.79999999999998,0.016930844192323317
nue,0.5,0.75,135.79999999999998,138.225,0.00906793428247671
nue,0.5,0.75,138.225,140.64999999999998,0.017340809410218785
nue,0.5,0.75,140.64999999999998,143.075,0.011367650228884255
nue,0.5,0.75,143.075,145.5,0.010683517493954554
nue,0.5,0.75,145.5,147.92499999999998,0.0013119166312027008
nue,0.5,0.75,147.92499999999998,150.35,0.01579671705251567
nue,0.5,0.75,150.35,152.77499999999998,0.00936775059264455
nue,0.5,0.75,152.77499999999998,155.2,0.038020920921167836
nue,0.5,0.75,155.2,157.625,0.03276498809984425
nue,0.5,0.75,157.625,160.04999999999998,0.014566513801869229
nue,0.5,0.75,160.04999999999998,162.475,0.004141308210340078
nue,0.5,0.75,162.475,164.89999999999998,0.0024282820810324172
nue,0.5,0.75,164.89999999999998,167.325,0.0035141892400942063
nue,0.5,0.75,167.325,169.75,0.013522981632390626
nue,0.5,0.75,169.75,172.17499999999998,0.010134976669713592
nue,0.5,0.75,172.17499999999998,174.6,0.00852881752770254
nue,0.5,0.75,174.6,177.02499999999998,0.0012296464893036493
nue,0.5,0.75,177.02499999999998,179.45,0.02899707469953518
nue,0.5,0.75,179.45,181.875,0.005278253257030292
nue,0.5,0.75,181.875,184.29999999999998,0.003672744015947925
nue,0.5,0.75,184.29999999999998,186.725,0.015949286223959077
nue,0.5,0.75,186.725,189.14999999999998,0.011149428186233943
nue,0.5,0.75,189.14999999999998,191.575,0.023188695793257996
nue,0.5,0.75,191.575,194.0,0.006522815314246373
nue,0.75,1.0,0.0,2.425,0.011052160353323058
nue,0.75,1.0,2.425,4.85,0.016134171008476732
nue,0.75,1.0,4.85,7.2749999999999995,0.009932434894027183
nue,0.75,1.0,7.2749999999999995,9.7,0.014137410135648875
nue,0.75,1.0,9.7,12.125,0.01256827674307425
nue,0.75,1.0,12.125,14.549999999999999,0.008183911185088443
nue,0.75,1.0,14.549999999999999,16.974999999999998,0.015751189127081205
nue,0.75,1.0,16.974999999999998,19.4,0.008441778360245539
nue,0.75,1.0,19.4,21.825,0.02165414318917796
nue,0.75,1.0,21.825,24.25,0.005267718182751316
nue,0.75,1.0,24.25,26.674999999999997,0.006818723647736717
nue,0.75,1.0,26.674999999999997,29.099999999999998,0.0040223076325529945
nue,0.75,1.0,29.099999999999998,31.525,0.01878474326256987
nue,0.75,1.0,31.525,33.949999999999996,0.022173617989969554
nue,0.75,1.0,33.949999999999996,36.375,0.0045365236047760545
nue,0.75,1.0,36.375,38.8,0.0035728030447346798
nue,0.75,1.0,38.8,41.224999999999994,0.029010244901208033
nue,0.75,1.0,41.224999999999994,43.65,0.0034427274253764867
nue,0.75,1.0,43.65,46.074999999999996,0.0035145407414536476
nue,0.75,1.0,46.074999999999996,48.5,0.010665630264108177
nue,0.75,1.0,48.5,50.925,0.024930900762876306
nue,0.75,1.0,50.925,53.349999999999994,0.0072227873379571185
nue,0.75,1.0,53.349999999999994,55.775,0.004316752445928479
nue,0.75,1.0,55.775,58.199999999999996,0.018511239381263665
nue,0.75,1.0,58.199999999999996,60.62499999999999,0.013596342222424718
nue,0.75,1.0,60.62499999999999,63.05,0.00693438383622714
nue,0.75,1.0,63.05,65.475,0.015472126483487794
nue,0.75,1.0,65.475,67.89999999999999,0.01449100255777834
nue,0.75,1.0,67.89999999999999,70.32499999999999,0.013639387649234603
nue,0.75,1.0,70.32499999999999,72.75,0.016019032582321735
nue,0.75,1.0,72.75,75.175,0.009907335067033287
nue,0.75,1.0,75.175,77.6,0.003941005795947881
nue,0.75,1.0,77.6,80.02499999999999,0.007153969499556929
nue,0.75,1.0,80.02499999999999,82.44999999999999,0.004751370448365406
nue,0.75,1.0,82.44999999999999,84.875,0.003972102843822394
nue,0.75,1.0,84.875,87.3,0.019897103818615886
nue,0.75,1.0,87.3,89.725,0.030567237264186375
nue,0.75,1.0,89.725,92.14999999999999,0.015200728855372091
nue,0.75,1.0,92.14999999999999,94.57499999999999,0.012012286740191728
nue,0.75,1.0,94.57499999999999,97.0,0.004677301599763244
nue,0.75,1.0,97.0,99.425,0.009496466018553081
nue,0.75,1.0,99.425,101.85,0.013111128543452555
nue,0.75,1.0,101.85,104.27499999999999,0.01101792123059614
nue,0.75,1.0,104.27499999999999,106.69999999999999,0.006733067199235703
nue,0.75,1.0,106.69999999999999,109.12499999999999,0.04029182236447168
nue,0.75,1.0,109.12499999999999,111.55,0.003126712794236505
nue,0.75,1.0,111.55,113.975,0.00638653843645213
nue,0.75,1.0,113.975,116.39999999999999,0.00597668288343342
nue,0.75,1.0,116.39999999999999,118.82499999999999,0.01024882278084033
nue,0.75,1.0,118.82499999999999,121.24999999999999,0.020200784848837975
nue,0.75,1.0,121.24999999999999,123.675,0.023512194555221928
