flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,-2.5,0.0,0.00039963212730835946
nue,0.5,0.75,0.0,2.5,0.08172936618067288
nue,0.5,0.75,2.5,5.0,0.09588961041917968
nue,0.5,0.75,5.0,7.5,0.08079103406247275
nue,0.5,0.75,7.5,10.0,0.06939056797388793
nue,0.5,0.75,10.0,12.5,0.06339163292517151
nue,0.5,0.75,12.5,15.0,0.06208234292725096
nue,0.5,0.75,15.0,17.5,0.05972917112597493
nue,0.5,0.75,17.5,20.0,0.056036699755019355
nue,0.5,0.75,20.0,22.5,0.055703692526893986
nue,0.5,0.75,22.5,25.0,0.025343818438825227
nue,0.5,0.75,25.0,27.5,0.018165271007018213
nue,0.5,0.75,27.5,30.0,0.012361275039437082
nue,0.5,0.75,30.0,32.5,0.010669767637571938
nue,0.5,0.75,32.5,35.0,0.012708268217102572
nue,0.5,0.75,35.0,37.5,0.011254815082125875
nue,0.5,0.75,37.5,40.0,0.008573027386678426
nue,0.5,0.75,40.0,42.5,0.008218967174044637
nue,0.5,0.75,42.5,45.0,0.005212252137447283
nue,0.5,0.75,45.0,47.5,0.0035489157279868302
nue,0.5,0.75,47.5,50.0,0.00915205196054435
nue,0.5,0.75,50.0,52.5,0.00461314351015712
nue,0.5,0.75,52.5,55.0,0.003758339647797763
nue,0.5,0.75,55.0,57.5,0.0024890129624444567
nue,0.5,0.75,57.5,60.0,0.0029396823507354744
nue,0.5,0.75,60.0,62.5,0.0031789300842365894
nue,0.5,0.75,62.5,65.0,0.002032209894353117
nue,0.5,0.75,65.0,67.5,0.0025290493579468664
nue,0.5,0.75,67.5,70.0,0.002485470709294854
nue,0.5,0.75,70.0,72.5,0.002347104411846704
nue,0.5,0.75,72.5,75.0,0.007245266470903478
nue,0.5,0.75,75.0,77.5,0.0037840758253819082
nue,0.5,0.75,77.5,80.0,0.0043343165473524875
nue,0.5,0.75,80.0,82.5,0.005799305645413444
