flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,-2.5,0.0,0.00032170909349124366
nue,0.5,0.75,0.0,2.5,0.06653678994442783
nue,0.5,0.75,2.5,5.0,0.07891062511222956
nue,0.5,0.75,5.0,7.5,0.06616633751229659
nue,0.5,0.75,7.5,10.0,0.05713247701314597
nue,0.5,0.75,10.0,12.5,0.05247583199130197
nue,0.5,0.75,12.5,15.0,0.05061999803804968
nue,0.5,0.75,15.0,17.5,0.050492839420233214
nue,0.5,0.75,17.5,20.0,0.04731512965421724
nue,0.5,0.75,20.0,22.5,0.04981430116070104
nue,0.5,0.75,22.5,25.0,0.02192093343669706
nue,0.5,0.75,25.0,27.5,0.015951397313124036
nue,0.5,0.75,27.5,30.0,0.01122946535373825
nue,0.5,0.75,30.0,32.5,0.01032865759045116
nue,0.5,0.75,32.5,35.0,0.011175126589086412
nue,0.5,0.75,35.0,37.5,0.010251750150877417
nue,0.5,0.75,37.5,40.0,0.008571729578071181
nue,0.5,0.75,40.0,42.5,0.008690815169856234
nue,0.5,0.75,42.5,45.0,0.006573510683798294
nue,0.5,0.75,45.0,47.5,0.0033315165002939695
nue,0.5,0.75,47.5,50.0,0.00809457032009486
nue,0.5,0.75,50.0,52.5,0.005540001419447382
nue,0.5,0.75,52.5,55.0,0.0035624797637201196
nue,0.5,0.75,55.0,57.5,0.002714212613693712
nue,0.5,0.75,57.5,60.0,0.002914277979767461
nue,0.5,0.75,60.0,62.5,0.004212128549241608
nue,0.5,0.75,62.5,65.0,0.001840614900420215
nue,0.5,0.75,65.0,67.5,0.0028114423708848722
nue,0.5,0.75,67.5,70.0,0.002875143269474156
nue,0.5,0.75,70.0,72.5,0.0030255573000460985
nue,0.5,0.75,72.5,75.0,0.006337236790543705
nue,0.5,0.75,75.0,77.5,0.004598153845481876
nue,0.5,0.75,77.5,80.0,0.004276582440984174
nue,0.5,0.75,80.0,82.5,0.00608004224654047
nue,0.5,0.75,82.5,85.0,0.0034878881867026774
nue,0.5,0.75,85.0,87.5,0.002303045043637972
nue,0.5,0.75,87.5,90.0,0.0027581823182473496
nue,0.5,0.75,90.0,92.5,0.0022833364139216482
nue,0.5,0.75,92.5,95.0,0.020508005273327155
nue,0.5,0.75,95.0,97.5,0.0030890810860486765
nue,0.5,0.75,97.5,100.0,0.003103926318771606
nue,0.5,0.75,100.0,102.5,0.005340025819176019
nue,0.5,0.75,102.5,105.0,0.005351817133341882
nue,0.5,0.75,105.0,107.5,0.005023924176030235
nue,0.5,0.75,107.5,110.0,0.005439360344458178
nue,0.5,0.75,110.0,112.5,0.004446567298158548
nue,0.5,0.75,112.5,115.0,0.002383689367198633
nue,0.5,0.75,115.0,117.5,0.0021351279815889647
nue,0.5,0.75,117.5,120.0,0.002377020936842328
nue,0.5,0.75,120.0,122.5,0.004719707087811112
nue,0.5,0.75,122.5,125.0,0.0023460646977821217
nue,0.5,0.75,125.0,127.5,0.003706483146851594
nue,0.5,0.75,127.5,130.0,0.007925580879295789
nue,0.5,0.75,130.0,132.5,0.0020267864834382565
nue,0.5,0.75,132.5,135.0,0.007087223453315664
nue,0.5,0.75,135.0,137.5,0.01232013664704647
nue,0.5,0.75,137.5,140.0,0.0035131915398274064
nue,0.5,0.75,140.0,142.5,0.014426346111665348
nue,0.5,0.75,142.5,145.0,0.0017962610704469742
nue,0.5,0.75,145.0,147.5,0.0052418826779548015
nue,0.5,0.75,147.5,150.0,0.003777427823080881
nue,0.5,0.75,150.0,152.5,0.0035651128870340773
nue,0.5,0.75,152.5,155.0,0.009720462231095456
nue,0.5,0.75,155.0,157.5,0.00950357458897212
nue,0.5,0.75,157.5,160.0,0.0032181641817179414
