flavor,E_GeV_bin_low,E_GeV_bin_high,z_decay_m_bin_low,z_decay_m_bin_high,weight
nue,0.5,0.75,0.0,2.425,0.06910098849399264
nue,0.5,0.75,2.425,4.85,0.08366082018226673
nue,0.5,0.75,4.85,7.2749999999999995,0.07048049735867089
nue,0.5,0.75,7.2749999999999995,9.7,0.06092631995535051
nue,0.5,0.75,9.7,12.125,0.057006045333058954
nue,0.5,0.75,12.125,14.549999999999999,0.052671631091341486
nue,0.5,0.75,14.549999999999999,16.974999999999998,0.05541736550647154
nue,0.5,0.75,16.974999999999998,19.4,0.04813414214634214
nue,0.5,0.75,19.4,21.825,0.05229539668635325
nue,0.5,0.75,21.825,24.25,0.03062903825348093
nue,0.5,0.75,24.25,26.674999999999997,0.019806116329971257
nue,0.5,0.75,26.674999999999997,29.099999999999998,0.01273237432057267
nue,0.5,0.75,29.099999999999998,31.525,0.013392218587089775
nue,0.5,0.75,31.525,33.949999999999996,0.008123957606872725
nue,0.5,0.75,33.949999999999996,36.375,0.011819176141367385
nue,0.5,0.75,36.375,38.8,0.010673685943507323
nue,0.5,0.75,38.8,41.224999999999994,0.005929275889279444
nue,0.5,0.75,41.224999999999994,43.65,0.01166247043148606
nue,0.5,0.75,43.65,46.074999999999996,0.005418963214790025
nue,0.5,0.75,46.074999999999996,48.5,0.007580439813064049
nue,0.5,0.75,48.5,50.925,0.006201076039247647
nue,0.5,0.75,50.925,53.349999999999994,0.0048512581955816245
nue,0.5,0.75,53.349999999999994,55.775,0.002620885557530499
nue,0.5,0.75,55.775,58.199999999999996,0.003099042867615874
nue,0.5,0.75,58.199999999999996,60.62499999999999,0.0029524103873039102
nue,0.5,0.75,60.62499999999999,63.05,0.004454885557768791
nue,0.5,0.75,63.05,65.475,0.0024384128137340424
nue,0.5,0.75,65.475,67.89999999999999,0.0029045712516365782
nue,0.5,0.75,67.89999999999999,70.32499999999999,0.0022345971911764996
nue,0.5,0.75,70.32499999999999,72.75,0.003224252391019513
nue,0.5,0.75,72.75,75.175,0.006735645435437386
nue,0.5,0.75,75.175,77.6,0.004993955355732812
nue,0.5,0.75,77.6,80.02499999999999,0.004656463437960715
nue,0.5,0.75,80.02499999999999,82.44999999999999,0.006522981831949256
nue,0.5,0.75,82.44999999999999,84.875,0.003639221914959139
nue,0.5,0.75,84.875,87.3,0.002671128292954133
nue,0.5,0.75,87.3,89.725,0.0027159737434093497
nue,0.5,0.75,89.725,92.14999999999999,0.002289904153727174
nue,0.5,0.75,92.14999999999999,94.57499999999999,0.009850611174279142
nue,0.5,0.75,94.57499999999999,97.0,0.016041904699494104
nue,0.5,0.75,97.0,99.425,0.0024554369871801433
nue,0.5,0.75,99.425,101.85,0.006389692151976341
nue,0.5,0.75,101.85,104.27499999999999,0.005721034390996881
nue,0.5,0.75,104.27499999999999,106.69999999999999,0.004620252488306922
nue,0.5,0.75,106.69999999999999,109.12499999999999,0.006160446973084198
nue,0.5,0.75,109.12499999999999,111.55,0.0049046598401743975
nue,0.5,0.75,111.55,113.975,0.0025258570622588975
nue,0.5,0.75,113.975,116.39999999999999,0.0020531280152182134
nue,0.5,0.75,116.39999999999999,118.82499999999999,0.002824124923711109
nue,0.5,0.75,118.82499999999999,121.24999999999999,0.00394832402437081
nue,0.5,0.75,121.24999999999999,123.675,0.003416395644892528
nue,0.5,0.75,123.675,126.1,0.0035387680082590504
nue,0.5,0.75,126.1,128.52499999999998,0.002414652305053382
nue,0.5,0.75,128.52499999999998,130.95,0.008550737958105367
nue,0.5,0.75,130.95,133.375,0.004326262589674642
nue,0.5,0.75,133.375,135.79999999999998,0.00641131331626944
nue,0.5,0.75,135.79999999999998,138.225,0.013148250131239539
nue,0.5,0.75,138.225,140.64999999999998,0.003866022810972918
nue,0.5,0.75,140.64999999999998,143.075,0.01534494185821415
nue,0.5,0.75,143.075,145.5,0.002833241268625033
nue,0.5,0.75,145.5,147.92499999999998,0.005086498240544528
nue,0.5,0.75,147.92499999999998,150.35,0.004396830793759313
nue,0.5,0.75,150.35,152.77499999999998,0.003166233512788459
nue,0.5,0.75,152.77499999999998,155.2,0.011567356980435515
nue,0.5,0.75,155.2,157.625,0.008800233205446348
nue,0.5,0.75,157.625,160.04999999999998,0.0037417005934967757
nue,0.5,0.75,160.04999999999998,162.475,0.006135222623592093
nue,0.5,0.75,162.475,164.89999999999998,0.004796636008607235
nue,0.5,0.75,164.89999999999998,167.325,0.0057897084999054
nue,0.5,0.75,167.325,169.75,0.00528318185808229
nue,0.5,0.75,169.75,172.17499999999998,0.0018874536119571658
nue,0.5,0.75,172.17499999999998,174.6,0.005860458614663026
nue,0.5,0.75,174.6,177.02499999999998,0.0024373165195154477
nue,0.5,0.75,177.02499999999998,179.45,0.005788186642625044
nue,0.5,0.75,179.45,181.875,0.003599575358178971
nue,0.5,0.75,181.875,184.29999999999998,0.005164318292101536
nue,0.5,0.75,184.29999999999998,186.725,0.0042919588164273765
nue,0.5,0.75,186.725,189.14999999999998,0.0043685438614211895
nue,0.5,0.75,189.14999999999998,191.575,0.008241666193271772
nue,0.5,0.75,191.575,194.0,0.011583271446748663
nue,0.75,1.0,0.0,2.425,0.06521315849960391
nue,0.75,1.0,2.425,4.85,0.07069538149076121
nue,0.75,1.0,4.85,7.2749999999999995,0.059722883776996194
nue,0.75,1.0,7.2749999999999995,9.7,0.052010180527872
nue,0.75,1.0,9.7,12.125,0.05107763571491834
nue,0.75,1.0,12.125,14.549999999999999,0.05249850050574718
nue,0.75,1.0,14.549999999999999,16.974999999999998,0.04716673414755602
nue,0.75,1.0,16.974999999999998,19.4,0.04081837184855752
nue,0.75,1.0,19.4,21.825,0.05071884307089385
nue,0.75,1.0,21.825,24.25,0.033994128389013306
nue,0.75,1.0,24.25,26.674999999999997,0.022673517240267865
nue,0.75,1.0,26.674999999999997,29.099999999999998,0.02041981766184278
nue,0.75,1.0,29.099999999999998,31.525,0.013683984470238098
nue,0.75,1.0,31.525,33.949999999999996,0.012777557144255413
nue,0.75,1.0,33.949999999999996,36.375,0.010045235974481571
nue,0.75,1.0,36.375,38.8,0.0056043841186188634
nue,0.75,1.0,38.8,41.224999999999994,0.006313924330760659
nue,0.75,1.0,41.224999999999994,43.65,0.00682248476608984
nue,0.75,1.0,43.65,46.074999999999996,0.009412039519957073
nue,0.75,1.0,46.074999999999996,48.5,0.009555086289261258
nue,0.75,1.0,48.5,50.925,0.006865935184571063
nue,0.75,1.0,50.925,53.349999999999994,0.005637252228036236
nue,0.75,1.0,53.349999999999994,55.775,0.003529787452182666
nue,0.75,1.0,55.775,58.199999999999996,0.006724258002399127
nue,0.75,1.0,58.199999999999996,60.62499999999999,0.00439119627413636
nue,0.75,1.0,60.62499999999999,63.05,0.006455384773558985
nue,0.75,1.0,63.05,65.475,0.0062895536306755
nue,0.75,1.0,65.475,67.89999999999999,0.019937476772188836
nue,0.75,1.0,67.89999999999999,70.32499999999999,0.005283506323969353
nue,0.75,1.0,70.32499999999999,72.75,0.0031508156385168383
nue,0.75,1.0,72.75,75.175,0.007377261102923947
nue,0.75,1.0,75.175,77.6,0.0055957072933129305
nue,0.75,1.0,77.6,80.02499999999999,0.004004136819648561
nue,0.75,1.0,80.02499999999999,82.44999999999999,0.003915703763563476
nue,0.75,1.0,82.44999999999999,84.875,0.003915021988751149
nue,0.75,1.0,84.875,87.3,0.0033366709605922385
nue,0.75,1.0,87.3,89.725,0.004067401257229005
nue,0.75,1.0,89.725,92.14999999999999,0.005267418229811341
nue,0.75,1.0,92.14999999999999,94.57499999999999,0.0025538161306840634
nue,0.75,1.0,94.57499999999999,97.0,0.012815431201140131
nue,0.75,1.0,97.0,99.425,0.004765629197387286
nue,0.75,1.0,99.425,101.85,0.003515854746023344
nue,0.75,1.0,101.85,104.27499999999999,0.002581106824745615
nue,0.75,1.0,104.27499999999999,106.69999999999999,0.00873365562118156
nue,0.75,1.0,106.69999999999999,109.12499999999999,0.0030313234072237624
nue,0.75,1.0,109.12499999999999,111.55,0.008183317851931474
nue,0.75,1.0,111.55,113.975,0.008160063622012468
nue,0.75,1.0,113.975,116.39999999999999,0.005257380219474433
nue,0.75,1.0,116.39999999999999,118.82499999999999,0.002687675496931958
nue,0.75,1.0,118.82499999999999,121.24999999999999,0.010660189243899509
