flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,0.5,0.75,0.5,0.75,1.3721783866931021e-07,0.9511473513806813,4.980104570571531e-07,3.6293419418836597,1648
nue,0.5,0.75,0.75,1.0,6.522724918009751e-09,0.045213308923348704,2.3673199120302445e-08,3.6293419418836597,47
nue,0.5,0.75,1.0,1.25,5.25031506989468e-10,0.0036393396959700885,1.90551886912726e-09,3.6293419418836597,2
nue,0.75,1.0,0.5,0.75,1.4578528306162269e-09,0.010065286155989516,5.171371433060093e-09,3.5472520438665818,6
nue,0.75,1.0,0.75,1.0,1.2777468447809058e-07,0.882180104708944,4.532490106693144e-07,3.5472520438665818,971
nue,0.75,1.0,1.0,1.25,1.560184353416692e-08,0.10771801956579259,5.5343671364660224e-08,3.5472520438665818,54
nue,0.75,1.0,1.25,1.5,5.2996215219506625e-12,3.658956927382486e-05,1.8799093275458814e-11,3.5472520438665818,1
nue,1.0,1.25,0.75,1.0,1.6046362258494084e-10,0.0011314766481132644,4.726625415757356e-10,2.9456055768997325,3
nue,1.0,1.25,1.0,1.25,1.2394964843563586e-07,0.8740057745644625,3.651067756867702e-07,2.9456055768997325,682
nue,1.0,1.25,1.25,1.5,1.6278423140554504e-08,0.11478399499484167,4.794981398595101e-08,2.9456055768997325,43
nue,1.0,1.25,1.5,1.75,5.635934040859565e-10,0.003974064435796731,1.6601238741794979e-09,2.9456055768997325,2
nue,1.0,1.25,1.75,2.0,8.657541192555999e-10,0.006104689356785773,2.550170161903211e-09,2.9456055768997325,2
nue,1.25,1.5,1.0,1.25,1.5030079827763334e-09,0.01083698802324861,6.572630520769392e-09,4.372984439263276,3
nue,1.25,1.5,1.25,1.5,1.1971757738957932e-07,0.8631876658078109,5.235231030309274e-07,4.372984439263276,569
nue,1.25,1.5,1.5,1.75,1.5547371662837807e-08,0.11209965777556426,6.798841435303254e-08,4.372984439263276,62
nue,1.25,1.5,1.75,2.0,1.1011292559405794e-09,0.007939362062890976,4.815221101845704e-09,4.372984439263276,6
nue,1.25,1.5,2.0,2.25,6.439790824973447e-10,0.004643217923137861,2.81611050697193e-09,4.372984439263276,1
nue,1.25,1.5,2.25,2.5,1.7934432101141585e-10,0.0012931084073474232,7.842699250531594e-10,4.372984439263276,1
nue,1.5,1.75,1.25,1.5,4.436787865097185e-10,0.00304281820531338,1.2504731223066307e-09,2.818419902704183,4
nue,1.5,1.75,1.5,1.75,1.2186830718922575e-07,0.8357918274237278,3.434760624909811e-07,2.818419902704183,495
nue,1.5,1.75,1.75,2.0,2.2861685755578428e-08,0.15678900081850966,6.443383014289096e-08,2.818419902704183,51
nue,1.5,1.75,2.0,2.25,4.0114793821927394e-10,0.0027511350250476693,1.1306033330059497e-09,2.818419902704183,1
nue,1.5,1.75,2.25,2.5,1.4575122154423132e-10,0.0009995845729976914,4.107881436437083e-10,2.818419902704183,1
nue,1.5,1.75,2.5,2.75,9.122481034340461e-11,0.0006256339544038392,2.5710982109226597e-10,2.818419902704183,2
nue,1.75,2.0,1.5,1.75,2.5481687877016783e-10,0.0016784769365347516,5.440244233447879e-10,2.1349622755385482,3
nue,1.75,2.0,1.75,2.0,1.1678982186723993e-07,0.7692937115165461,2.4934186385342425e-07,2.1349622755385482,409
nue,1.75,2.0,2.0,2.25,2.9606348741458253e-08,0.19501680492038156,6.320843767945154e-08,2.1349622755385482,54
nue,1.75,2.0,2.25,2.5,3.108105394310616e-09,0.020473067741226782,6.63568776525103e-09,2.1349622755385482,6
nue,1.75,2.0,2.5,2.75,2.055253341078429e-09,0.013537938885310609,4.3878883498770075e-09,2.1349622755385482,2
nue,2.0,2.25,2.0,2.25,1.1100041661534715e-07,0.764874274507413,3.342447133926779e-07,3.0112023322484047,421
nue,2.0,2.25,2.25,2.5,3.07308530282048e-08,0.21175811435370956,9.253681631051325e-08,3.0112023322484047,50
nue,2.0,2.25,2.5,2.75,2.24270445659091e-09,0.015453878431050332,6.753236890230439e-09,3.0112023322484047,5
nue,2.0,2.25,2.75,3.0,1.0811247726275897e-09,0.007449742544490478,3.255485436787724e-09,3.0112023322484047,1
nue,2.0,2.25,3.5,3.75,6.733538197366402e-11,0.00046399016333660206,2.027604592419343e-10,3.0112023322484047,1
nue,2.25,2.5,2.0,2.25,1.4385405368497685e-09,0.009992240461079443,3.21416721533685e-09,2.234325090605713,2
nue,2.25,2.5,2.25,2.5,9.540297225242449e-08,0.6626781901714811,2.1316125462195266e-07,2.234325090605713,335
nue,2.25,2.5,2.5,2.75,3.516670851660762e-08,0.2442713282811932,7.8573859192674e-08,2.234325090605713,66
nue,2.25,2.5,2.75,3.0,7.008231928581578e-09,0.04867985075398324,1.5658668438813884e-08,2.234325090605713,6
nue,2.25,2.5,3.0,3.25,2.8563972001224183e-09,0.01984080875362776,6.382119932969426e-09,2.234325090605713,2
nue,2.25,2.5,3.5,3.75,2.0929140456621933e-09,0.014537581578635236,4.676250364704149e-09,2.234325090605713,1
nue,2.5,2.75,2.25,2.5,8.022908531489563e-10,0.005193737558321975,1.7536836166346625e-09,2.185845207821492,4
nue,2.5,2.75,2.5,2.75,1.0263617624898806e-07,0.664429067506709,2.243467940029726e-07,2.185845207821492,299
nue,2.5,2.75,2.75,3.0,4.0645865052019826e-08,0.26312646477594526,8.88455693417166e-08,2.185845207821492,56
nue,2.5,2.75,3.0,3.25,7.784910087717373e-09,0.050396660702338135,1.7016608408558213e-08,2.185845207821492,8
nue,2.5,2.75,3.25,3.5,1.2483391247521037e-09,0.008081290933705838,2.7286760935754616e-09,2.185845207821492,1
nue,2.5,2.75,3.5,3.75,1.3551551049033343e-09,0.008772778522979674,2.9621592919077845e-09,2.185845207821492,1
nue,2.75,3.0,2.5,2.75,1.1821368294192373e-09,0.00830051673898316,2.7685878679689917e-09,2.342019806056757,2
nue,2.75,3.0,2.75,3.0,7.75194414257127e-08,0.5443121347186765,1.815520671734758e-07,2.342019806056757,288
nue,2.75,3.0,3.0,3.25,4.692722010288028e-08,0.3295051522667381,1.0990447892413042e-07,2.342019806056757,56
nue,2.75,3.0,3.25,3.5,1.5315917728705945e-08,0.10754256894480596,3.5870182668565145e-08,2.342019806056757,11
nue,2.75,3.0,3.5,3.75,9.770582897324916e-10,0.006860532966282039,2.2882898662254365e-09,2.342019806056757,4
nue,2.75,3.0,3.75,4.0,3.1460114285134145e-10,0.0022090099786703224,7.368021075659328e-10,2.342019806056757,1
nue,2.75,3.0,4.0,4.25,1.8088193496738265e-10,0.0012700843858439305,4.2362907425148047e-10,2.342019806056757,1
nue,3.0,3.25,2.75,3.0,2.155570983258037e-09,0.015446437106936859,4.334972805295884e-09,2.011055464637862,3
nue,3.0,3.25,3.0,3.25,9.881476482984026e-08,0.7080889759769841,1.9872197279795546e-07,2.011055464637862,266
nue,3.0,3.25,3.25,3.5,2.6796762846319585e-08,0.19202082194925768,5.388977635669583e-08,2.011055464637862,63
nue,3.0,3.25,3.5,3.75,8.39931402392176e-09,0.060187985837434836,1.6891486367017283e-08,2.011055464637862,10
nue,3.0,3.25,4.75,5.0,3.38492645945781e-09,0.024255779129386545,6.807274853689919e-09,2.011055464637862,1
nue,3.25,3.5,3.0,3.25,1.4040639655315633e-10,0.0009522072157782853,3.0422446670970085e-10,2.166742215298751,1
nue,3.25,3.5,3.25,3.5,8.362807861373084e-08,0.5671483768014849,1.8120048831669326e-07,2.166742215298751,223
nue,3.25,3.5,3.5,3.75,4.94167189024742e-08,0.33513399299588625,1.0707329098754261e-07,2.166742215298751,64
nue,3.25,3.5,3.75,4.0,4.540779062193956e-09,0.030794626843365435,9.838697684400316e-09,2.166742215298751,12
nue,3.25,3.5,4.0,4.25,1.3319225899493156e-09,0.009032824231249955,2.88593290315323e-09,2.166742215298751,4
nue,3.25,3.5,4.25,4.5,6.485273669446942e-10,0.0043981788123209796,1.4051916237356125e-09,2.166742215298751,1
nue,3.25,3.5,5.0,5.25,3.381120997309389e-09,0.022930065083171584,7.326017599903268e-09,2.166742215298751,1
nue,3.25,3.5,5.25,5.5,4.366061446354222e-09,0.02960972801674262,9.460129650404016e-09,2.166742215298751,1
nue,3.5,3.75,3.5,3.75,9.145458446834366e-08,0.5797586749729989,1.173792608779514e-07,1.283470495878546,181
nue,3.5,3.75,3.75,4.0,3.8614707875378185e-08,0.24479048264713132,4.9560838265016834e-08,1.283470495878546,64
nue,3.5,3.75,4.0,4.25,2.0727426917677346e-08,0.13139751971156627,2.6603040904317663e-08,1.283470495878546,18
nue,3.5,3.75,4.25,4.5,1.267004645347454e-09,0.008031931243704202,1.6261630804445181e-09,1.283470495878546,3
nue,3.5,3.75,5.25,5.5,5.6822287046618536e-09,0.036021391424599404,7.292972893267657e-09,1.283470495878546,1
nue,3.75,4.0,3.5,3.75,4.283049217571098e-10,0.0027718619342689474,4.524627160769699e-10,1.056403261070999,1
nue,3.75,4.0,3.75,4.0,1.0193275933986296e-07,0.6596784699789023,1.0768209937659657e-07,1.056403261070999,154
nue,3.75,4.0,4.0,4.25,3.6421556695835115e-08,0.2357094711352749,3.8475851266762494e-08,1.056403261070999,49
nue,3.75,4.0,4.25,4.5,4.377235498557487e-09,0.02832816491112584,4.62412585515187e-09,1.056403261070999,9
nue,3.75,4.0,4.5,4.75,1.196126701514155e-09,0.007740975889065241,1.2635921481336508e-09,1.056403261070999,2
nue,3.75,4.0,4.75,5.0,1.0162868038454997e-08,0.06577105615136283,1.0736086937658086e-08,1.056403261070999,4
nue,4.0,4.25,3.75,4.0,2.1288850424224185e-10,0.0014155795582915813,2.782698406453922e-10,1.3071153918614324,1
nue,4.0,4.25,4.0,4.25,9.259421671267403e-08,0.6156954357917555,1.2103132586248932e-07,1.3071153918614324,165
nue,4.0,4.25,4.25,4.5,4.48928598506396e-08,0.29851031620524976,5.868014809544915e-08,1.3071153918614324,46
nue,4.0,4.25,4.5,4.75,4.4321609609810505e-09,0.02947118482397524,5.793345811305689e-09,1.3071153918614324,12
nue,4.0,4.25,4.75,5.0,1.90201835584119e-09,0.012647269581829807,2.4861574685229943e-09,1.3071153918614324,5
nue,4.0,4.25,5.25,5.5,4.2804412795593126e-09,0.028462340873591053,5.595030680471022e-09,1.3071153918614324,1
nue,4.0,4.25,5.5,5.75,1.3878947005936585e-09,0.009228658795902057,1.8141385254288853e-09,1.3071153918614324,1
nue,4.0,4.25,5.75,6.0,6.871625172651867e-10,0.004569214369404978,8.982007030275728e-10,1.3071153918614324,1
nue,4.25,4.5,4.25,4.5,9.348977730875239e-08,0.5846974376468093,8.941182554666692e-08,0.9563807736046057,145
nue,4.25,4.5,4.5,4.75,4.0653457656052915e-08,0.25425210335538884,3.888018528279797e-08,0.9563807736046057,51
nue,4.25,4.5,4.75,5.0,1.4001745961938942e-08,0.08756877192562125,1.339100063489433e-08,0.9563807736046057,15
nue,4.25,4.5,5.0,5.25,3.5892240039597477e-09,0.022447481838842893,3.4326648295472437e-09,0.9563807736046057,6
nue,4.25,4.5,5.25,5.5,6.325179487471656e-10,0.003955850944822609,6.049280051416125e-10,0.9563807736046057,1
nue,4.25,4.5,5.5,5.75,1.7893234053559538e-09,0.011190665336360194,1.7112745026431545e-09,0.9563807736046057,2
nue,4.25,4.5,6.25,6.5,5.7382362778361305e-09,0.03588768895215506,5.487938850522932e-09,0.9563807736046057,1
nue,4.5,4.75,4.5,4.75,1.0059406727023316e-07,0.6078381246285592,9.751239454953078e-08,0.9693652637344521,139
nue,4.5,4.75,4.75,5.0,3.117805808324692e-08,0.18839294273658388,3.022292649659472e-08,0.9693652637344521,49
nue,4.5,4.75,5.0,5.25,4.169779605743887e-09,0.025195829977338813,4.042039507236463e-09,0.9693652637344521,9
nue,4.5,4.75,5.25,5.5,5.108042327460159e-09,0.030865268232030674,4.951558797925162e-09,0.9693652637344521,8
nue,4.5,4.75,5.5,5.75,5.201186394623715e-10,0.0031428089844093335,5.041849421156461e-10,0.9693652637344521,1
nue,4.5,4.75,5.75,6.0,2.6221777708945358e-09,0.015844469380301818,2.5418480464417995e-09,0.9693652637344521,2
nue,4.5,4.75,6.0,6.25,2.13025865782147e-08,0.1287205560607762,2.064998745661709e-08,0.9693652637344521,4
nue,4.75,5.0,3.25,3.5,5.343010419974863e-09,0.038140614356984064,6.424314391102991e-09,1.2023772903540801,1
nue,4.75,5.0,4.75,5.0,7.740925761655814e-08,0.552579240979183,9.307513342131812e-08,1.2023772903540801,115
nue,4.75,5.0,5.0,5.25,4.189539843128495e-08,0.29906665143792704,5.037407564411298e-08,1.2023772903540801,47
nue,4.75,5.0,5.25,5.5,7.848289150841993e-09,0.05602432829726255,9.43660464310472e-09,1.2023772903540801,12
nue,4.75,5.0,5.5,5.75,3.261841907274477e-09,0.023284374257198343,3.9219646340320705e-09,1.2023772903540801,7
nue,4.75,5.0,5.75,6.0,3.5552904594255653e-09,0.025379131179132746,4.274800509025824e-09,1.2023772903540801,6
nue,4.75,5.0,6.0,6.25,7.740739561330917e-10,0.005525659492312229,9.307289459089699e-10,1.2023772903540801,1
nue,5.0,5.25,4.75,5.0,5.118011270636003e-10,0.0030028752520086617,4.357641370559726e-10,0.851432546770889,1
nue,5.0,5.25,5.0,5.25,7.361041680275295e-08,0.43189216908379513,6.267430464723458e-08,0.851432546770889,90
nue,5.0,5.25,5.25,5.5,6.12932408731848e-08,0.35962397579992084,5.218706017649728e-08,0.851432546770889,42
nue,5.0,5.25,5.5,5.75,9.48535137628575e-09,0.05565311484926688,8.076136879327734e-09,0.851432546770889,13
nue,5.0,5.25,5.75,6.0,4.0053526522703974e-09,0.023500484307404413,3.4102876094381195e-09,0.851432546770889,5
nue,5.0,5.25,6.0,6.25,2.586174592519158e-09,0.01517378385976924,2.2019532197027528e-09,0.851432546770889,4
nue,5.0,5.25,6.25,6.5,1.8944688463445638e-08,0.11115359684783481,1.61301243462126e-08,0.851432546770889,3
nue,5.25,5.5,5.0,5.25,1.5311710776079763e-09,0.008718876760896678,1.0957816029496562e-09,0.7156493607895902,2
nue,5.25,5.5,5.25,5.5,7.805822354918167e-08,0.44448333778812793,5.58623177873428e-08,0.7156493607895902,84
nue,5.25,5.5,5.5,5.75,4.2688382306018235e-08,0.2430784841035953,3.05499135104436e-08,0.7156493607895902,39
nue,5.25,5.5,5.75,6.0,3.041794742667395e-08,0.17320751339355292,2.176858463243057e-08,0.7156493607895902,15
nue,5.25,5.5,6.0,6.25,7.102271730262235e-09,0.040442137945353174,5.082736223916145e-09,0.7156493607895902,8
nue,5.25,5.5,6.25,6.5,1.0283003857172775e-08,0.058554034015961993,7.359025137382587e-09,0.7156493607895902,5
nue,5.25,5.5,6.5,6.75,2.2166874089606707e-09,0.012622380750786187,1.5863709272930367e-09,0.7156493607895902,2
nue,5.25,5.5,7.0,7.25,3.317947501485194e-09,0.018893235241725908,2.374487008571297e-09,0.7156493607895902,3
nue,5.5,5.75,5.25,5.5,6.599242584640998e-10,0.003938293141043718,4.726573260597708e-10,0.7162296581729366,1
nue,5.5,5.75,5.5,5.75,7.99199538711836e-08,0.4769459557312746,5.724104124235469e-08,0.7162296581729366,85
nue,5.5,5.75,5.75,6.0,3.8478426992323396e-08,0.22963139050943454,2.7559390611744083e-08,0.7162296581729366,40
nue,5.5,5.75,6.0,6.25,1.1350239273238971e-08,0.06773590894057703,8.129377994852989e-09,0.7162296581729366,14
nue,5.5,5.75,6.25,6.5,7.886306618799993e-09,0.04706386659777153,5.648406693830086e-09,0.7162296581729366,9
nue,5.5,5.75,6.5,6.75,6.69945045588048e-09,0.039980951511864496,4.7983451099618e-09,0.7162296581729366,6
