flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,0.0,0.25,0.0,0.25,1.513428400081251e-07,0.9684914378324826,1.8922747782469623e-07,1.250323291240849,11978
nue,0.0,0.25,0.25,0.5,4.923735096385494e-09,0.03150856216751737,6.156260670910791e-09,1.250323291240849,70
nue,0.25,0.5,0.0,0.25,7.756984975199738e-11,0.0005338523965002236,2.1267909615453433e-10,2.741775275245495,1
nue,0.25,0.5,0.25,0.5,1.425135764514965e-07,0.9808090974224196,3.9074020030152176e-07,2.741775275245495,3936
nue,0.25,0.5,0.5,0.75,2.7109077131608495e-09,0.018657050181080118,7.432699741416723e-09,2.741775275245495,55
nue,0.5,0.75,0.25,0.5,5.348399313339679e-10,0.003716553969664263,1.9532066248276915e-09,3.651946143879184,2
nue,0.5,0.75,0.5,0.75,1.3636851077112396e-07,0.9476123609161718,4.980104570571531e-07,3.651946143879184,1648
nue,0.5,0.75,0.75,1.0,6.482351652414077e-09,0.045045271220587976,2.3673199120302445e-08,3.651946143879184,47
nue,0.5,0.75,1.0,1.25,5.217817552761533e-10,0.0036258138935760745,1.90551886912726e-09,3.651946143879184,2
nue,0.75,1.0,0.5,0.75,1.4578528306162265e-09,0.010065286155989516,5.171371433060093e-09,3.547252043866583,6
nue,0.75,1.0,0.75,1.0,1.2777468447809052e-07,0.882180104708944,4.532490106693144e-07,3.547252043866583,971
nue,0.75,1.0,1.0,1.25,1.5601843534166915e-08,0.10771801956579259,5.5343671364660224e-08,3.547252043866583,54
nue,0.75,1.0,1.25,1.5,5.299621521950661e-12,3.658956927382486e-05,1.8799093275458814e-11,3.547252043866583,1
nue,1.0,1.25,0.75,1.0,1.6046362258494081e-10,0.0011314766481132644,4.726625415757356e-10,2.945605576899733,3
nue,1.0,1.25,1.0,1.25,1.2394964843563584e-07,0.8740057745644625,3.651067756867702e-07,2.945605576899733,682
nue,1.0,1.25,1.25,1.5,1.6278423140554504e-08,0.11478399499484167,4.794981398595101e-08,2.945605576899733,43
nue,1.0,1.25,1.5,1.75,5.635934040859564e-10,0.003974064435796731,1.6601238741794979e-09,2.945605576899733,2
nue,1.0,1.25,1.75,2.0,8.657541192555998e-10,0.006104689356785773,2.550170161903211e-09,2.945605576899733,2
nue,1.25,1.5,1.0,1.25,1.5030079827763334e-09,0.01083698802324861,6.572630520769392e-09,4.372984439263276,3
nue,1.25,1.5,1.25,1.5,1.1971757738957932e-07,0.8631876658078109,5.235231030309274e-07,4.372984439263276,569
nue,1.25,1.5,1.5,1.75,1.5547371662837807e-08,0.11209965777556426,6.798841435303254e-08,4.372984439263276,62
nue,1.25,1.5,1.75,2.0,1.1011292559405794e-09,0.007939362062890976,4.815221101845704e-09,4.372984439263276,6
nue,1.25,1.5,2.0,2.25,6.439790824973447e-10,0.004643217923137861,2.81611050697193e-09,4.372984439263276,1
nue,1.25,1.5,2.25,2.5,1.7934432101141585e-10,0.0012931084073474232,7.842699250531594e-10,4.372984439263276,1
nue,1.5,1.75,1.25,1.5,4.4367878650971885e-10,0.00304281820531338,1.2504731223066307e-09,2.8184199027041807,4
nue,1.5,1.75,1.5,1.75,1.2186830718922586e-07,0.8357918274237278,3.434760624909811e-07,2.8184199027041807,495
nue,1.5,1.75,1.75,2.0,2.2861685755578448e-08,0.15678900081850966,6.443383014289096e-08,2.8184199027041807,51
nue,1.5,1.75,2.0,2.25,4.0114793821927425e-10,0.0027511350250476693,1.1306033330059497e-09,2.8184199027041807,1
nue,1.5,1.75,2.25,2.5,1.4575122154423145e-10,0.0009995845729976914,4.107881436437083e-10,2.8184199027041807,1
nue,1.5,1.75,2.5,2.75,9.122481034340468e-11,0.0006256339544038392,2.5710982109226597e-10,2.8184199027041807,2
nue,1.75,2.0,1.5,1.75,2.5481687877016773e-10,0.0016784769365347518,5.440244233447879e-10,2.134962275538549,3
nue,1.75,2.0,1.75,2.0,1.1678982186723987e-07,0.7692937115165462,2.4934186385342425e-07,2.134962275538549,409
nue,1.75,2.0,2.0,2.25,2.960634874145824e-08,0.1950168049203816,6.320843767945154e-08,2.134962275538549,54
nue,1.75,2.0,2.25,2.5,3.1081053943106146e-09,0.020473067741226782,6.63568776525103e-09,2.134962275538549,6
nue,1.75,2.0,2.5,2.75,2.0552533410784283e-09,0.01353793888531061,4.3878883498770075e-09,2.134962275538549,2
nue,2.0,2.25,2.0,2.25,1.1100041661534715e-07,0.764874274507413,3.342447133926779e-07,3.0112023322484047,421
nue,2.0,2.25,2.25,2.5,3.07308530282048e-08,0.21175811435370956,9.253681631051325e-08,3.0112023322484047,50
nue,2.0,2.25,2.5,2.75,2.24270445659091e-09,0.015453878431050332,6.753236890230439e-09,3.0112023322484047,5
nue,2.0,2.25,2.75,3.0,1.0811247726275897e-09,0.007449742544490478,3.255485436787724e-09,3.0112023322484047,1
nue,2.0,2.25,3.5,3.75,6.733538197366402e-11,0.00046399016333660206,2.027604592419343e-10,3.0112023322484047,1
nue,2.25,2.5,2.0,2.25,1.4385405368497697e-09,0.009992240461079441,3.21416721533685e-09,2.234325090605711,2
nue,2.25,2.5,2.25,2.5,9.540297225242457e-08,0.662678190171481,2.1316125462195266e-07,2.234325090605711,335
nue,2.25,2.5,2.5,2.75,3.5166708516607644e-08,0.24427132828119313,7.8573859192674e-08,2.234325090605711,66
nue,2.25,2.5,2.75,3.0,7.008231928581583e-09,0.048679850753983234,1.5658668438813884e-08,2.234325090605711,6
nue,2.25,2.5,3.0,3.25,2.8563972001224204e-09,0.019840808753627755,6.382119932969426e-09,2.234325090605711,2
nue,2.25,2.5,3.5,3.75,2.092914045662195e-09,0.014537581578635234,4.676250364704149e-09,2.234325090605711,1
nue,2.5,2.75,2.25,2.5,8.022908531489556e-10,0.005193737558321974,1.7536836166346625e-09,2.185845207821494,4
