flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,0.5,0.75,0.5,0.75,1.6102694981741038e-07,0.9364173578426442,9.669551831288851e-07,6.004927648603681,16100
nue,0.5,0.75,0.75,1.0,1.0164853890320306e-08,0.059111506698868804,6.10392121700011e-08,6.004927648603681,574
nue,0.5,0.75,1.0,1.25,5.405617801977033e-10,0.003143519979341493,3.2460343796876143e-09,6.004927648603681,5
nue,0.5,0.75,1.25,1.5,1.6429403408765126e-10,0.0009554163789608935,9.865737877935728e-10,6.004927648603681,2
nue,0.5,0.75,1.5,1.75,6.400360408269596e-11,0.0003721991001846866,3.843370117664644e-10,6.004927648603681,1
nue,0.75,1.0,0.5,0.75,3.6135725025855514e-10,0.002109971639235795,2.0655063798467013e-09,5.715967725481662,16
nue,0.75,1.0,0.75,1.0,1.550920121793059e-07,0.9055851153843026,8.865009360969214e-07,5.715967725481662,8822
nue,0.75,1.0,1.0,1.25,1.445524004776154e-08,0.08440441285541976,8.262568557709497e-08,5.715967725481662,547
nue,0.75,1.0,1.25,1.5,9.676892871759267e-10,0.005650355569377893,5.531280733791953e-09,5.715967725481662,15
nue,0.75,1.0,1.5,1.75,3.853634962449351e-10,0.0022501445516639735,2.202725307114823e-09,5.715967725481662,3
nue,1.0,1.25,0.75,1.0,5.977016472698332e-10,0.0034958442117422285,3.204389334432174e-09,5.361185382488244,16
nue,1.0,1.25,1.0,1.25,1.4930029208583297e-07,0.873229251222152,8.004265435317929e-07,5.361185382488244,5803
nue,1.0,1.25,1.25,1.5,1.687222971500291e-08,0.098682489596269,9.04551513180574e-08,5.361185382488244,497
nue,1.0,1.25,1.5,1.75,4.000974894691868e-09,0.02340094759789107,2.144996812112448e-08,5.361185382488244,20
nue,1.0,1.25,1.75,2.0,4.7327284291456225e-11,0.0002768083601634681,2.537303447362206e-10,5.361185382488244,2
nue,1.0,1.25,2.0,2.25,1.5638374164276438e-10,0.0009146590117822523,8.384022297540064e-10,5.361185382488244,2
nue,1.25,1.5,1.0,1.25,3.819890531793405e-09,0.022565543182870976,2.0531346176630356e-08,5.374851976973034,8
nue,1.25,1.5,1.25,1.5,1.3900564154808502e-07,0.8211590832010899,7.471347472851296e-07,5.374851976973034,4272
nue,1.25,1.5,1.5,1.75,1.997302571869441e-08,0.11798824353644256,1.073520567702579e-07,5.374851976973034,513
nue,1.25,1.5,1.75,2.0,4.181519123220079e-09,0.024701820525920445,2.2475046326189992e-08,5.374851976973034,18
nue,1.25,1.5,2.0,2.25,4.1610566608209105e-10,0.002458094099415032,2.236506361971008e-09,5.374851976973034,4
nue,1.25,1.5,2.25,2.5,1.8836127548315127e-09,0.011127215454261057,1.0124139739157779e-08,5.374851976973034,8
nue,1.5,1.75,1.25,1.5,4.0253294594539247e-10,0.0023197102289118105,1.994514407230028e-09,4.954909721850702,7
nue,1.5,1.75,1.5,1.75,1.4173699018559771e-07,0.8167995918359123,7.022939906164756e-07,4.954909721850702,3446
nue,1.5,1.75,1.75,2.0,2.6090958553827485e-08,0.15035654608912016,1.2927834419076352e-07,4.954909721850702,564
nue,1.5,1.75,2.0,2.25,3.396203507913015e-09,0.01957158562082208,1.6827881778741656e-08,4.954909721850702,21
nue,1.5,1.75,2.25,2.5,1.6916601629202495e-09,0.009748671315716537,8.382023387321086e-09,4.954909721850702,5
nue,1.5,1.75,2.5,2.75,1.7244119640673465e-10,0.0009937412855760598,8.544305605232958e-10,4.954909721850702,2
nue,1.5,1.75,2.75,3.0,1.743047335167001e-11,0.00010044804465304283,8.636642186664933e-11,4.954909721850702,1
nue,1.5,1.75,3.0,3.25,1.9036907915067035e-11,0.00010970557928797201,9.432616010234222e-11,4.954909721850702,1
nue,1.75,2.0,1.25,1.5,8.32249632366831e-12,4.757052482300828e-05,3.9115887349426566e-11,4.7000185795438645,1
nue,1.75,2.0,1.5,1.75,5.591542211710027e-10,0.0031960674686583555,2.628035228334092e-09,4.7000185795438645,12
nue,1.75,2.0,1.75,2.0,1.3830655058013414e-07,0.7905458821106398,6.500433573992537e-07,4.7000185795438645,2789
nue,1.75,2.0,2.0,2.25,2.8739058405627765e-08,0.16426947373792397,1.3507410846504677e-07,4.7000185795438645,565
nue,1.75,2.0,2.25,2.5,4.501063494126477e-09,0.025727611566297826,2.115508205010107e-08,4.7000185795438645,26
