flavor,E_ND_GeV_bin_low,E_ND_GeV_bin_high,E_FD_GeV_bin_low,E_FD_GeV_bin_high,transfer_weight,conditional_EFD_given_END,fd_weight_sum,nd_weight_sum,event_count
nue,0.0,0.25,0.0,0.25,1.7395096325341425e-07,0.9815034265655207,8.886077912872591e-07,5.108380975118387,139934
nue,0.0,0.25,0.25,0.5,3.278130955766368e-09,0.018496573434479347,1.674594180838357e-08,5.108380975118387,865
nue,0.25,0.5,0.0,0.25,9.073875107010072e-11,0.0005305574287262546,5.841115949751814e-10,6.4372893398535185,27
nue,0.25,0.5,0.25,0.5,1.658514847067984e-07,0.9697481642489287,1.0676339945019522e-06,6.4372893398535185,42479
nue,0.25,0.5,0.5,0.75,5.059454291237376e-09,0.02958307258872367,3.25691711744585e-08,6.4372893398535185,689
nue,0.25,0.5,0.75,1.0,2.3636679048374706e-11,0.0001382057336214061,1.521561420676415e-10,6.4372893398535185,1
nue,0.5,0.75,0.25,0.5,2.293641606544815e-10,0.0013349906909384378,1.3803693070707672e-09,6.018243230031834,18
nue,0.5,0.75,0.5,0.75,1.6067067185049122e-07,0.935167249387091,9.669551831288851e-07,6.018243230031834,16100
nue,0.5,0.75,0.75,1.0,1.014236378240868e-08,0.05903259338769846,6.10392121700011e-08,6.018243230031834,574
nue,0.5,0.75,1.0,1.25,5.393657676528378e-10,0.0031393234094322926,3.2460343796876143e-09,6.018243230031834,5
nue,0.5,0.75,1.25,1.5,1.6393052757828706e-10,0.0009541409069890104,9.865737877935728e-10,6.018243230031834,2
nue,0.5,0.75,1.5,1.75,6.3861993787252e-11,0.0003717022178507643,3.843370117664644e-10,6.018243230031834,1
nue,0.75,1.0,0.5,0.75,3.6135725025855503e-10,0.002109971639235795,2.0655063798467013e-09,5.715967725481664,16
nue,0.75,1.0,0.75,1.0,1.5509201217930585e-07,0.9055851153843026,8.865009360969214e-07,5.715967725481664,8822
nue,0.75,1.0,1.0,1.25,1.4455240047761536e-08,0.08440441285541976,8.262568557709497e-08,5.715967725481664,547
nue,0.75,1.0,1.25,1.5,9.676892871759263e-10,0.005650355569377893,5.531280733791953e-09,5.715967725481664,15
nue,0.75,1.0,1.5,1.75,3.85363496244935e-10,0.0022501445516639735,2.202725307114823e-09,5.715967725481664,3
nue,1.0,1.25,0.75,1.0,5.977016472698334e-10,0.0034958442117422285,3.204389334432174e-09,5.361185382488242,16
nue,1.0,1.25,1.0,1.25,1.4930029208583302e-07,0.873229251222152,8.004265435317929e-07,5.361185382488242,5803
nue,1.0,1.25,1.25,1.5,1.6872229715002918e-08,0.098682489596269,9.04551513180574e-08,5.361185382488242,497
nue,1.0,1.25,1.5,1.75,4.000974894691869e-09,0.02340094759789107,2.144996812112448e-08,5.361185382488242,20
nue,1.0,1.25,1.75,2.0,4.732728429145624e-11,0.0002768083601634681,2.537303447362206e-10,5.361185382488242,2
nue,1.0,1.25,2.0,2.25,1.5638374164276443e-10,0.0009146590117822523,8.384022297540064e-10,5.361185382488242,2
nue,1.25,1.5,1.0,1.25,3.819890531793406e-09,0.022565543182870976,2.0531346176630356e-08,5.374851976973032,8
nue,1.25,1.5,1.25,1.5,1.3900564154808505e-07,0.8211590832010899,7.471347472851296e-07,5.374851976973032,4272
nue,1.25,1.5,1.5,1.75,1.9973025718694417e-08,0.11798824353644256,1.073520567702579e-07,5.374851976973032,513
nue,1.25,1.5,1.75,2.0,4.181519123220081e-09,0.024701820525920445,2.2475046326189992e-08,5.374851976973032,18
nue,1.25,1.5,2.0,2.25,4.161056660820912e-10,0.002458094099415032,2.236506361971008e-09,5.374851976973032,4
nue,1.25,1.5,2.25,2.5,1.8836127548315135e-09,0.011127215454261057,1.0124139739157779e-08,5.374851976973032,8
nue,1.5,1.75,1.25,1.5,4.025329459453923e-10,0.0023197102289118105,1.994514407230028e-09,4.954909721850703,7
nue,1.5,1.75,1.5,1.75,1.4173699018559766e-07,0.8167995918359123,7.022939906164756e-07,4.954909721850703,3446
nue,1.5,1.75,1.75,2.0,2.6090958553827475e-08,0.15035654608912016,1.2927834419076352e-07,4.954909721850703,564
nue,1.5,1.75,2.0,2.25,3.396203507913014e-09,0.01957158562082208,1.6827881778741656e-08,4.954909721850703,21
nue,1.5,1.75,2.25,2.5,1.6916601629202489e-09,0.009748671315716537,8.382023387321086e-09,4.954909721850703,5
nue,1.5,1.75,2.5,2.75,1.7244119640673458e-10,0.0009937412855760598,8.544305605232958e-10,4.954909721850703,2
nue,1.5,1.75,2.75,3.0,1.7430473351670008e-11,0.00010044804465304283,8.636642186664933e-11,4.954909721850703,1
nue,1.5,1.75,3.0,3.25,1.9036907915067025e-11,0.00010970557928797201,9.432616010234222e-11,4.954909721850703,1
nue,1.75,2.0,1.25,1.5,8.322496323668311e-12,4.757052482300828e-05,3.9115887349426566e-11,4.700018579543864,1
nue,1.75,2.0,1.5,1.75,5.591542211710028e-10,0.0031960674686583555,2.628035228334092e-09,4.700018579543864,12
nue,1.75,2.0,1.75,2.0,1.3830655058013417e-07,0.7905458821106398,6.500433573992537e-07,4.700018579543864,2789
nue,1.75,2.0,2.0,2.25,2.8739058405627772e-08,0.16426947373792397,1.3507410846504677e-07,4.700018579543864,565
nue,1.75,2.0,2.25,2.5,4.501063494126478e-09,0.025727611566297826,2.115508205010107e-08,4.700018579543864,26
nue,1.75,2.0,2.5,2.75,8.152832874654074e-10,0.004660074616537932,3.831846598679016e-09,4.700018579543864,4
nue,1.75,2.0,2.75,3.0,1.2148559404375088e-09,0.006943990411459726,5.709845491525525e-09,4.700018579543864,1
nue,1.75,2.0,3.0,3.25,3.8287583684104987e-10,0.002188478527623934,1.7995235468113394e-09,4.700018579543864,4
nue,1.75,2.0,3.5,3.75,4.23529568414793e-10,0.0024208510360354788,1.990596840535721e-09,4.700018579543864,1
nue,2.0,2.25,1.75,2.0,2.4952341101537263e-09,0.014513835187130498,1.3137176981332016e-08,5.264907580364338,20
nue,2.0,2.25,2.0,2.25,1.2383449092914662e-07,0.7202985020580341,6.519771500034229e-07,5.264907580364338,2410
nue,2.0,2.25,2.25,2.5,3.62397120248344e-08,0.21079272899371887,1.9079873454977126e-07,5.264907580364338,628
nue,2.0,2.25,2.5,2.75,5.2872192898454754e-09,0.030753759360201565,2.7836720918155994e-08,5.264907580364338,33
nue,2.0,2.25,2.75,3.0,2.5526048960818493e-09,0.014847539398742782,1.3439228867056452e-08,5.264907580364338,7
nue,2.0,2.25,3.0,3.25,8.237132586129003e-10,0.004791229178982849,4.336774179317669e-09,5.264907580364338,3
nue,2.0,2.25,3.25,3.5,1.0356078844783917e-10,0.0006023740254531167,5.45237980127536e-10,5.264907580364338,1
nue,2.0,2.25,3.5,3.75,5.845371128949354e-10,0.003400031797736009,3.07753387668483e-09,5.264907580364338,3
nue,2.25,2.5,2.0,2.25,1.1901479030166551e-09,0.006967778011032779,5.724428811092208e-09,4.809846571659337,18
nue,2.25,2.5,2.25,2.5,1.2011295265840344e-07,0.7032070453194192,5.777248735559021e-07,4.809846571659337,1959
nue,2.25,2.5,2.5,2.75,4.237954810043715e-08,0.24811309806391316,2.038391241393596e-07,4.809846571659337,607
nue,2.25,2.5,2.75,3.0,5.039667863117483e-09,0.02950497734822051,2.424002919371736e-08,4.809846571659337,61
nue,2.25,2.5,3.0,3.25,9.039525177740904e-10,0.005292233394185026,4.347872918558534e-09,4.809846571659337,7
nue,2.25,2.5,3.25,3.5,8.708603227549956e-10,0.005098493550417364,4.188704537797259e-09,4.809846571659337,3
nue,2.25,2.5,3.5,3.75,3.102501365662864e-10,0.0018163743128119727,1.4922555557201938e-09,4.809846571659337,1
