point_id,backend,asimov_mode,detector_mode,source_model,dm41_eV2,sin2_theta14_eff,sin2_theta24_eff,theta14_rad_eff,theta24_rad_eff,chi2_min,chi2_stat,chi2_prior,chi2_pulls_norm,chi2_pulls_shape,chi2_ND,chi2_FD,chi2_FHC_app,chi2_RHC_app,chi2_FHC_dis,chi2_RHC_dis,n_component_rows,minimizer_status,pull_01_ND_fiducial_volume,pull_02_FD_fiducial_volume,pull_03_flux_FHC_signal,pull_04_flux_RHC_signal,pull_05_flux_FHC_background,pull_06_flux_RHC_background,pull_07_ND_flux_FHC_signal,pull_08_ND_flux_RHC_signal,pull_09_ND_flux_FHC_background,pull_10_ND_flux_RHC_background,pull_11_xsec_nue_CC,pull_12_xsec_numu_CC,pull_13_xsec_nutau_CC,pull_14_xsec_nuebar_CC,pull_15_xsec_numubar_CC,pull_16_xsec_nutaubar_CC,pull_17_ND_xsec_nue_CC,pull_18_ND_xsec_numu_CC,pull_19_ND_xsec_nutau_CC,pull_20_ND_xsec_nuebar_CC,pull_21_ND_xsec_numubar_CC,pull_22_ND_xsec_nutaubar_CC,pull_23_xsec_nu_NC,pull_24_xsec_nubar_NC,pull_25_ND_xsec_nu_NC,pull_26_ND_xsec_nubar_NC
1,analytic_3p1,standard3nu,ND+FD,point,0.1,0.0001,0,0.0100001666742,0,5.28038426023e-005,5.28038426023e-005,0,0,0,2.94450470782e-006,4.98593378945e-005,4.13426557809e-005,1.14524392483e-005,1.13028246559e-008,-2.55525152372e-009,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,analytic_3p1,standard3nu,ND+FD,point,0.1,0.000133352143216,0,0.0115480765167,0,2.83101418539e-005,1.18256695369e-005,0,1.6484472317e-005,0,4.00398969925e-006,7.82167983762e-006,8.90933661903e-006,2.63556140502e-006,1.0473670094e-007,1.76034811885e-007,1472,0,-7.245129764e-006,7.74782335703e-006,1.16966470409e-005,1.09429970474e-005,2.1035117859e-005,1.24784418985e-005,-8.54125247559e-007,1.5973455147e-007,-9.97192890144e-006,-1.64882275233e-006,5.10186099102e-005,-1.88692936821e-005,0,5.10186099101e-005,-1.27903406174e-005,0,-5.2766342398e-005,1.52378424571e-005,0,-5.2766342398e-005,8.89499291502e-006,0,3.83322706901e-006,3.83322706901e-006,-2.65917582477e-006,-2.65917582477e-006
3,analytic_3p1,standard3nu,ND+FD,point,0.1,0.000177827941004,0,0.0133356095822,0,5.03623067939e-005,2.1049161068e-005,0,2.93131457259e-005,0,7.13714672465e-006,1.39120143434e-005,1.58454167699e-005,4.68696383981e-006,2.01369490972e-007,3.15410967407e-007,1472,0,-9.66143917284e-006,1.03317778737e-005,1.55974726664e-005,1.45924569484e-005,2.80499787816e-005,1.6639757554e-005,-1.1389998695e-006,2.12999355293e-007,-1.32972531448e-005,-2.19849069175e-006,6.80334542755e-005,-2.51622103746e-005,0,6.80334542753e-005,-1.70558354396e-005,0,-7.03640128157e-005,2.03197597282e-005,0,-7.03640128157e-005,1.18614852445e-005,0,5.11185135541e-006,5.11185135541e-006,-3.54628472635e-006,-3.54628472635e-006
4,analytic_3p1,standard3nu,ND+FD,point,0.1,0.000237137370566,0,0.0153998739491,0,8.95397892924e-005,3.74148461287e-005,0,5.21249431637e-005,0,1.26685632429e-005,2.47462828858e-005,2.81825578237e-005,8.33571505098e-006,3.35821207357e-007,5.6075204669e-007,1472,0,-1.28835643395e-005,1.37774505044e-005,2.07991073439e-005,1.94588843658e-005,3.74038222968e-005,2.21885625977e-005,-1.51889059674e-006,2.8402125917e-007,-1.77312336255e-005,-2.93129029433e-006,9.07223702617e-005,-3.35536405603e-005,0,9.07223702615e-005,-2.27436856676e-005,0,-9.38300774256e-005,2.70964265054e-005,0,-9.38300774256e-005,1.58172274682e-005,0,6.81704949565e-006,6.81704949565e-006,-4.72943218992e-006,-4.72943218992e-006
5,analytic_3p1,standard3nu,ND+FD,point,0.1,0.000316227766017,0,0.0177837314693,0,0.000159258420022,6.65704976565e-005,0,9.26879223657e-005,0,2.25484845215e-005,4.4022013135e-005,5.01284716848e-005,1.48248438989e-005,6.15056250903e-007,1.00212582187e-006,1472,0,-1.71802035497e-005,1.8372175701e-005,2.77352431963e-005,2.59480040571e-005,4.98762638e-005,2.95873043181e-005,-2.02549068947e-006,3.78716525739e-007,-2.36433114554e-005,-3.90814864929e-006,0.00012097720359,-4.47432429237e-005,0,0.000120977203589,-3.03280605521e-005,0,-0.000125121144122,3.6132938914e-005,0,-0.000125121144122,2.10920475547e-005,0,9.09119052461e-006,9.09119052461e-006,-6.30748477138e-006,-6.30748477138e-006
6,analytic_3p1,standard3nu,ND+FD,point,0.1,0.000421696503429,0,0.0205366938124,0,0.000283198094783,0.000118384431277,0,0.000164813663506,0,4.00625490428e-005,7.8321882234e-005,8.91673765878e-005,2.63668322387e-005,1.05524928753e-006,1.79497316274e-006,1472,0,-2.29096261618e-005,2.44990679664e-005,3.69840968749e-005,3.46007341584e-005,6.65065594889e-005,3.94524247516e-005,-2.70106639228e-006,5.049698647e-007,-3.15258957734e-005,-5.21019568476e-006,0.000161320320611,-5.9663840096e-005,0,0.000161320320611,-4.04411062497e-005,0,-0.000166845903205,4.81827564321e-005,0,-0.000166845903205,2.81256940561e-005,0,1.21242025319e-005,1.21242025319e-005,-8.41238540762e-006,-8.41238540762e-006
7,analytic_3p1,standard3nu,ND+FD,point,0.1,0.00056234132519,0,0.0237159601549,0,0.000503654153038,0.000210596347162,0,0.000293057805876,0,7.12269751755e-005,0.000139369371986,0.00015862560072,4.68979182429e-005,1.89703528457e-006,3.17579291461e-006,1472,0,-3.05495110283e-005,3.26689259613e-005,4.93165173712e-005,4.61381791898e-005,8.86799084533e-005,5.2605533485e-005,-3.60198527099e-006,6.73287255496e-007,-4.20351830067e-005,-6.94541072732e-006,0.000215114549843,-7.95590382164e-005,0,0.000215114549842,-5.3925503274e-005,0,-0.000222482230818,6.42504408823e-005,0,-0.000222482230818,3.75044315569e-005,0,1.61694937873e-005,1.61694937873e-005,-1.12202647525e-005,-1.12202647525e-005
8,analytic_3p1,standard3nu,ND+FD,point,0.1,0.000749894209332,0,0.0273876200398,0,0.000895754979682,0.000374680194495,0,0.000521074785187,0,0.000126626214558,0.000248053979938,0.000282226404213,8.34216200543e-005,3.37337772209e-006,5.65879250623e-006,1472,0,-4.0736709061e-005,4.35627457456e-005,6.5760065429e-005,6.15215537441e-005,0.000118242310078,7.01415016752e-005,-4.803422879e-006,8.97663627144e-007,-5.60454401872e-005,-9.25741475773e-006,0.000286842870592,-0.000106086620796,0,0.000286842870592,-7.19044507876e-005,0,-0.00029666640523,8.56752545354e-005,0,-0.00029666640523,5.00097905377e-005,0,2.15652300054e-005,2.15652300054e-005,-1.4966320437e-005,-1.4966320437e-005
9,analytic_3p1,standard3nu,ND+FD,point,0.1,0.001,0,0.0316280494376,0,0.00159313134804,0.00066666624942,0,0.000926465098623,0,0.000225043833644,0.000441622415776,0.000502224446426,0.000148403747106,5.98904082335e-006,1.00490150651e-005,1472,0,-5.43202183729e-005,5.80883569122e-005,8.76843344282e-005,8.20319579456e-005,0.000157653323344,9.35190073401e-005,-6.40564196363e-006,1.19673482737e-006,-7.47211264212e-005,-1.23370686678e-005,0.000382480898404,-0.000141456225359,0,0.000382480898403,-9.58748106751e-005,0,-0.000395578256949,0.000114242523578,0,-0.000395578256949,6.66834858982e-005,0,2.8762790183e-005,2.8762790183e-005,-1.99647693786e-005,-1.99647693786e-005
10,analytic_3p1,standard3nu,ND+FD,point,0.1,0.00133352143216,0,0.0365255337251,0,0.0028336245071,0.00118646983195,0,0.00164715467515,0,0.00039992427856,0.000786545553394,0.000893918026301,0.000264038570952,1.06478454326e-005,1.78653892692e-005,1472,0,-7.24317405502e-005,7.74558482329e-005,0.000116914495676,0.000109376521312,0.000210189054527,0.000124680818429,-8.54237078146e-006,1.59530473625e-006,-9.96125955341e-005,-1.64377155427e-005,0.000509992739163,-0.000188612579639,0,0.000509992739162,-0.000127830994264,0,-0.000527453839053,0.00015233193619,0,-0.000527453839053,8.89138262499e-005,0,3.83648593081e-005,3.83648593081e-005,-2.66356512858e-005,-2.66356512858e-005
