point_id,backend,asimov_mode,detector_mode,source_model,dm41_eV2,sin2_theta14_eff,sin2_theta24_eff,theta14_rad_eff,theta24_rad_eff,chi2_min,chi2_stat,chi2_prior,chi2_pulls_norm,chi2_pulls_shape,chi2_ND,chi2_FD,chi2_FHC_app,chi2_RHC_app,chi2_FHC_dis,chi2_RHC_dis,n_component_rows,minimizer_status,pull_01_ND_fiducial_volume,pull_02_FD_fiducial_volume,pull_03_flux_FHC_signal,pull_04_flux_RHC_signal,pull_05_flux_FHC_background,pull_06_flux_RHC_background,pull_07_ND_flux_FHC_signal,pull_08_ND_flux_RHC_signal,pull_09_ND_flux_FHC_background,pull_10_ND_flux_RHC_background,pull_11_xsec_nue_CC,pull_12_xsec_numu_CC,pull_13_xsec_nutau_CC,pull_14_xsec_nuebar_CC,pull_15_xsec_numubar_CC,pull_16_xsec_nutaubar_CC,pull_17_ND_xsec_nue_CC,pull_18_ND_xsec_numu_CC,pull_19_ND_xsec_nutau_CC,pull_20_ND_xsec_nuebar_CC,pull_21_ND_xsec_numubar_CC,pull_22_ND_xsec_nutaubar_CC,pull_23_xsec_nu_NC,pull_24_xsec_nubar_NC,pull_25_ND_xsec_nu_NC,pull_26_ND_xsec_nubar_NC
1,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.0001,0,0.0100001666742,0,5.12966693177e-005,5.12966693177e-005,0,0,0,1.43733142326e-006,4.98593378945e-005,4.02327874457e-005,1.10648604709e-005,1.4418524639e-009,-2.42045135176e-009,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.000133352143216,0,0.0115480765167,0,2.62981245244e-005,9.79771203044e-006,0,1.6500412494e-005,0,1.97148236164e-006,7.82622966881e-006,7.30501332537e-006,2.21223604189e-006,1.0273426474e-007,1.77728398448e-007,1472,0,-7.29404566826e-006,7.75658952669e-006,1.07275467775e-005,9.90325433228e-006,2.00163907225e-005,1.15258173722e-005,-8.56692997088e-007,1.56090648262e-007,-9.9933505955e-006,-1.66777335637e-006,5.15437845037e-005,-1.78633125068e-005,0,5.15437845036e-005,-1.17074950745e-005,0,-5.27863578502e-005,1.52624317377e-005,0,-5.27863578502e-005,8.91579576225e-006,0,3.51304184681e-006,3.51304184681e-006,-2.67572169055e-006,-2.67572169055e-006
3,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.000177827941004,0,0.0133356095822,0,4.6781527133e-005,1.74400352145e-005,0,2.93414919184e-005,0,3.51992929771e-006,1.39201059168e-005,1.299308754e-005,3.93464535189e-006,1.9273030323e-007,3.19572019457e-007,1472,0,-9.72666701828e-006,1.03434675602e-005,1.43052138936e-005,1.32059991325e-005,2.66915447576e-005,1.53694688368e-005,-1.14242386852e-006,2.08140321432e-007,-1.3325818505e-005,-2.2237608914e-006,6.87337570272e-005,-2.38207727053e-005,0,6.87337570275e-005,-1.56119017552e-005,0,-7.03907044922e-005,2.03525493555e-005,0,-7.03907044922e-005,1.18892255492e-005,0,4.68489688295e-006,4.68489688295e-006,-3.56834878567e-006,-3.56834878567e-006
4,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.000237137370566,0,0.0153998739491,0,8.31744449862e-005,3.09990941252e-005,0,5.2175350861e-005,0,6.23841847013e-006,2.4760675655e-005,2.31104271728e-005,6.99762369782e-006,3.25408266389e-007,5.6563498819e-007,1472,0,-1.29705425148e-005,1.37930386166e-005,1.90759542928e-005,1.76101223065e-005,3.55924289062e-005,2.04947058545e-005,-1.52345630603e-006,2.77541969799e-007,-1.77693244955e-005,-2.96498715863e-006,9.16561877306e-005,-3.17649110033e-005,0,9.1656187731e-005,-2.08182830645e-005,0,-9.386567249e-005,2.71401509222e-005,0,-9.386567249e-005,1.58542184466e-005,0,6.24773102718e-006,6.24773102718e-006,-4.75885471724e-006,-4.75885471724e-006
5,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.000316227766017,0,0.0177837314693,0,0.000147929408676,5.51518467555e-005,0,9.27775619207e-005,0,1.11042302784e-005,4.40476164771e-005,4.1109209431e-005,1.2446126482e-005,5.95173855555e-007,1.00133698691e-006,1472,0,-1.72961827118e-005,1.83929621861e-005,2.54375625527e-005,2.34828343292e-005,4.7460923043e-005,2.73286887375e-005,-2.03157868627e-006,3.70076852771e-007,-2.36941035126e-005,-3.95308149305e-006,0.000122222378046,-4.23581227945e-005,0,0.000122222378046,-2.77606974786e-005,0,-0.000125168612934,3.6191244131e-005,0,-0.000125168612934,2.11413734836e-005,0,8.33205344393e-006,8.33205344393e-006,-6.3467196867e-006,-6.3467196867e-006
6,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.000421696503429,0,0.0205366938124,0,0.000263058051538,9.80849824722e-005,0,0.000164973069066,0,1.97175496534e-005,7.83674328187e-005,7.31335451321e-005,2.21376688188e-005,1.03467982774e-006,1.77908869354e-006,1472,0,-2.30642724566e-005,2.45267861294e-005,3.39204121516e-005,3.13137226616e-005,6.32859907478e-005,3.64408302307e-005,-2.709184023e-006,4.93449739554e-007,-3.15936228528e-005,-5.27010988797e-006,0.000162980625339,-5.64835675107e-005,0,0.000162980625339,-3.70178327854e-005,0,-0.000166909207493,4.82605037225e-005,0,-0.000166909207493,2.8191467089e-005,0,1.11119859727e-005,1.11119859727e-005,-8.46470484272e-006,-8.46470484272e-006
7,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00056234132519,0,0.0237159601549,0,0.000467861536945,0.000174520260161,0,0.000293341276785,0,3.50698365585e-005,0.000139450423602,0.000130120890373,3.93791713301e-005,1.86156436474e-006,3.15863409249e-006,1472,0,-3.07557095659e-005,3.2705886839e-005,4.5231600135e-005,4.17554927222e-005,8.43858154981e-005,4.85900727206e-005,-3.61280880548e-006,6.57926813818e-007,-4.2125489241e-005,-7.0252992306e-006,0.000217328313525,-7.53186744688e-005,0,0.000217328313525,-4.93611353114e-005,0,-0.00022256665486,6.43541115085e-005,0,-0.00022256665486,3.75921339256e-005,0,1.48198751598e-005,1.48198751598e-005,-1.12900317684e-005,-1.12900317684e-005
8,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.000749894209332,0,0.0273876200398,0,0.00083214177805,0.00031056289461,0,0.00052157888344,0,6.23646646778e-005,0.000248198229932,0.000231556546536,7.00563108147e-005,3.33454041652e-006,5.61549684282e-006,1472,0,-4.10116336817e-005,4.36120305145e-005,6.03137579375e-005,5.56782389458e-005,0.000112517120044,6.47878035552e-005,-4.81785362701e-006,8.7718351386e-007,-5.61658489891e-005,-9.36393290429e-006,0.000289794459299,-0.000100433068112,0,0.000289794459299,-6.5818907411e-005,0,-0.000296778997914,8.58134889942e-005,0,-0.000296778997914,5.01267304002e-005,0,1.97658293643e-005,1.97658293643e-005,-1.50593525647e-005,-1.50593525647e-005
9,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.001,0,0.0316280494376,0,0.00148006944123,0.000552707896671,0,0.000927361544563,0,0.000110828684051,0.00044187921262,0.000412163310984,0.000124648881256,5.90725929489e-006,9.98844513658e-006,1472,0,-5.46867552518e-005,5.81540732431e-005,8.04233755328e-005,7.42417135043e-005,0.000150020571321,8.63815231133e-005,-6.42488093265e-006,1.16943014181e-006,-7.48816648052e-005,-1.24790864294e-005,0.000386415993623,-0.000133918982465,0,0.000386415993622,-8.77616338599e-005,0,-0.000395728421996,0.000114426839887,0,-0.000395728421996,6.68394043712e-005,0,2.63638638909e-005,2.63638638909e-005,-2.00888231668e-005,-2.00888231668e-005
10,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00133352143216,0,0.0365255337251,0,0.00263270929802,0.000983960447994,0,0.00164874885002,0,0.000196957574847,0.000787002873146,0.000733870155797,0.000221825234114,1.05098009792e-005,1.77552571034e-005,1472,0,-7.29203812987e-005,7.75434717614e-005,0.000107235068104,9.89915152208e-005,0.000200014015523,0.000115166008005,-8.56801792592e-006,1.55890399643e-006,-9.98266247513e-005,-1.66270522014e-005,0.000515238651879,-0.000178564867088,0,0.000515238651879,-0.000117015501423,0,-0.000527654123438,0.000152577686271,0,-0.000527654123438,8.91217053675e-005,0,3.51669298531e-005,3.51669298531e-005,-2.68010680334e-005,-2.68010680334e-005
11,analytic_3p1,standard3nu,ND+FD,uniform,0.1,0.00177827941004,0,0.0421821585917,0,0.00468340206507,0.00175231733922,0,0.00293108472585,0,0.000349915454232,0.00140240188499,0.00130722898072,0.000394857092425,1.86625779281e-005,3.15686881444e-005,1472,0,-9.72309704173e-005,0.000103394800747,0.000142980297246,0.000131987034124,0.000266648979942,0.000153530820899,-1.1426170355e-005,2.077843393e-006,-0.000133068198642,-2.21475089609e-005,0.000686983340161,-0.000238086353898,0,0.000686983340159,-0.000156013308856,0,-0.00070353456798,0.000203442575638,0,-0.00070353456798,0.000118827794116,0,4.69139178848e-005,4.69139178848e-005,-3.57614882761e-005,-3.57614882761e-005
